Ch2 tests
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,38,cs,3296.148491249406,d=4063.363733541648
v,31,cs,3607.0289236622875,d=3639.277170613546
v,32,cs,3553.3856289678956,d=3705.795292697721
v,33,cs,3498.4806071083717,d=3655.4253784296307
v,61,cs,2235.4372325224667,d=4470.8744650449335
v,49,cs,2741.9671640027523,d=4176.131485197607
v,54,cs,2481.6977837550535,d=4254.946556065053
v,47,cs,2767.6842282358953,d=4173.058111060259
v,51,cs,2526.0094134882893,d=4245.285072127624
v,41,cs,3105.37471214652,d=4095.5101418521417
./data/A-n61-k9.vrp,COMMENT : (Augerat et al, Min no of trucks: 9, Best value: 1035),
v,32,cs,3408.9015906703203,d=3817.900626313247
v,31,cs,3643.768146734996,d=3603.8316871992556
v,27,cs,4037.2303381555594,d=3445.8403506351106
v,35,cs,3357.7204139247447,d=3804.61543806654
v,26,cs,4166.001741645839,d=3612.8338983188683
v,49,cs,2686.842479762847,d=4313.024789313262
v,13,cs,7452.5580458096165,d=3268.8731749574868
v,24,cs,4790.233534683986,d=3558.2957820720694
v,28,cs,3947.9570002774913,d=3701.939352821649
v,61,cs,2235.4372325224663,d=4470.874465044933
v,44,cs,2812.311624223986,d=4170.982982803619
v,42,cs,2930.7794020714236,d=4081.4502699706118
v,38,cs,3076.4997636316457,d=3941.3197227983187
v,40,cs,3076.332699892306,d=3977.89495032512
v,34,cs,3386.6591473303483,d=3842.1533377962774
v,41,cs,3041.609485490023,d=3990.7557812934665
v,37,cs,3331.938542343247,d=3580.8710947707636
v,10,cs,8561.442532643692,d=3379.7072238857972
v,14,cs,6861.641511373838,d=3414.4098228208227
v,15,cs,6649.963906227221,d=3136.3762776553754
v,19,cs,5704.314137183181,d=3457.2041660882282
v,16,cs,5843.050816126966,d=3327.2707908914385
v,22,cs,4962.733706506252,d=3275.2563754701036
v,21,cs,5085.684512334831,d=3433.7066887280293
v,20,cs,5542.851276840926,d=3324.9491734172966
v,25,cs,4397.826572805678,d=3459.8887244387756
v,23,cs,4806.744827036268,d=3464.5541024402787
v,29,cs,3775.0744230767655,d=3676.4201943283506
Grand front,A-n61-k9.vrp,n,39,obj0Max,61.0,obj0Min,10.0,obj1Max,8063.85048738103,obj1Min,2235.437232522466
V,61,CS,2235.437232522466
V,60,CS,2309.4973008603274
V,56,CS,2388.80147712829
V,46,CS,2776.2122030574264
V,35,CS,3184.785619743972
V,52,CS,2482.6657162415067
V,49,CS,2582.622765805459
V,36,CS,3162.936745666209
V,18,CS,5513.961525750973
V,22,CS,4825.294685030133
V,23,CS,4249.443649906553
V,40,CS,3034.306711749998
V,15,CS,6311.291415352724
V,13,CS,7000.5123283860485
V,34,CS,3296.2189668072892
V,12,CS,7818.699602764283
V,20,CS,4986.585925128278
V,33,CS,3305.6950584953715
V,48,CS,2697.9644970365825
V,43,CS,2794.524426595478
V,41,CS,3020.6475578620802
V,27,CS,3952.07715184583
V,28,CS,3771.497742991777
V,53,CS,2473.2942197719403
V,47,CS,2757.390997824272
V,42,CS,2917.591017617986
V,54,CS,2407.8236934917068
V,29,CS,3720.5297702098046
V,30,CS,3620.1310290209235
V,31,CS,3539.8226790238905
V,10,CS,8063.85048738103
V,26,CS,4033.4000969664094
V,19,CS,5464.44080544935
V,17,CS,5764.604113471453
V,51,CS,2526.0094134882893
V,32,CS,3408.9015906703203
V,38,CS,3076.4997636316457
V,14,CS,6861.641511373838
V,16,CS,5843.050816126966
./data/A-n62-k8.vrp,COMMENT : (Augerat et al, Min no of trucks: 8, Best value: 1290),
v,31,cs,5846.500863127236,d=5332.14127104278
v,15,cs,11873.238106319059,d=4018.581325584652
v,36,cs,5192.210365745192,d=5568.66550975754
v,13,cs,12017.921765411518,d=4093.1407536664387
v,21,cs,9845.673528764022,d=4531.975699110987
v,28,cs,6296.411049357247,d=5000.808434269791
v,39,cs,4962.8124636445245,d=5639.935073166747
v,40,cs,4694.492885896868,d=5816.433456100497
v,24,cs,7801.467445552006,d=4599.9728380301
v,32,cs,5697.579070376857,d=5453.041807841502
v,26,cs,6725.993247954488,d=4634.290862958536
v,30,cs,5956.241037851757,d=5527.174758060885
v,33,cs,5674.389311243981,d=5251.789533568326
v,25,cs,6937.404559332511,d=4828.403183881578
v,27,cs,6552.943041887742,d=5263.797219760494
v,23,cs,8230.954124791071,d=4666.758216274684
v,35,cs,5323.3534011183765,d=5511.741719530353
v,62,cs,3553.089372414568,d=7106.178744829136
v,60,cs,3677.0691683327254,d=6946.4948327409675
v,55,cs,3784.0389784198424,d=6857.604981328819
v,51,cs,4330.53838959689,d=6401.083479652962
v,48,cs,4380.8125352736215,d=6528.351214146806
v,53,cs,4001.0189460676634,d=6592.3075118328725
v,54,cs,3941.751901712836,d=6706.377223302566
v,44,cs,4571.545463039051,d=6055.5218402586615
v,52,cs,4208.766996107242,d=6643.788620795249
v,34,cs,5380.352371595157,d=5538.295186952045
v,37,cs,5047.81772870107,d=5776.134428186002
./data/A-n62-k8.vrp,COMMENT : (Augerat et al, Min no of trucks: 8, Best value: 1290),
v,33,cs,5292.48626627863,d=5408.604064413888
v,30,cs,5808.911693707444,d=5265.721013784343
v,37,cs,5117.080112654579,d=5662.960624732438
v,29,cs,5891.261418925892,d=5066.111376524643
v,40,cs,5078.546918249225,d=6009.99748205509
v,42,cs,4963.911151720392,d=5954.906355680029
v,36,cs,5241.406810757722,d=6006.868971771993
v,32,cs,5389.452524390251,d=5444.61257185124
v,19,cs,8898.100101522621,d=4562.645555996648
v,21,cs,8318.538905913954,d=4589.153946511637
v,26,cs,6446.3297155107275,d=4888.413320130868
v,25,cs,7095.301016081352,d=4537.85610876831
v,23,cs,7473.087296611051,d=4714.484314642245
./data/A-n62-k8.vrp,COMMENT : (Augerat et al, Min no of trucks: 8, Best value: 1290),
v,27,cs,6699.356240732474,d=5249.615116640163
v,32,cs,5626.752192951844,d=5558.696631177982
v,20,cs,8839.507262384695,d=4743.9948384139
v,17,cs,10875.640497011318,d=4266.4651668393235
v,18,cs,9769.321311291065,d=4335.196697636677
v,26,cs,6967.61117827657,d=4940.611009746223
v,25,cs,7172.40961653821,d=5010.886284955086
v,41,cs,4811.390317411171,d=5795.857083521326
v,62,cs,3553.089372414569,d=7106.178744829138
v,52,cs,4042.0967164490316,d=6502.526813986127
v,49,cs,4175.957060797533,d=6324.387774656224
v,44,cs,4623.420049426518,d=5977.315575534112
v,42,cs,4736.29111566132,d=5994.691370081957
v,40,cs,5046.862419384781,d=6193.9361149355145
v,45,cs,4584.2906962311745,d=6271.836377655785
v,48,cs,4234.215878568808,d=6382.056173318728
v,43,cs,4736.087426445119,d=5757.382221566643
v,35,cs,5532.989796536319,d=5026.07267858492
v,22,cs,8099.963753155704,d=4967.733348318081
v,24,cs,7964.640776136569,d=4694.609668636863
v,21,cs,8127.62744283326,d=4645.009352615982
v,28,cs,6172.618703285745,d=5054.058922488143
v,30,cs,5888.37324878876,d=5353.507148310536
v,36,cs,5072.029661958882,d=5589.521999404966
./data/A-n62-k8.vrp,COMMENT : (Augerat et al, Min no of trucks: 8, Best value: 1290),
v,52,cs,4073.2363102300255,d=6478.859304102109
v,46,cs,4703.059218179471,d=6184.880266888101
v,49,cs,4478.98648282184,d=6415.79858450292
v,47,cs,4515.762629021875,d=6448.200926880986
v,39,cs,5044.62688084085,d=5797.166907855771
v,44,cs,4798.938641065617,d=6128.638242556357
v,37,cs,5145.372799678563,d=5832.117216460375
v,30,cs,5983.436574076714,d=5170.530190029313
v,25,cs,7349.273499560278,d=4989.566344261718
v,38,cs,5081.329660227222,d=5653.992596779295
v,34,cs,5460.824752407814,d=5624.932282450017
v,41,cs,4960.796000243989,d=6022.328715228963
v,23,cs,8364.779110779647,d=4849.590629358816
v,32,cs,5557.736452296803,d=5396.045907129525
v,21,cs,10929.403837852547,d=4778.7242897140295
v,31,cs,5695.622271908653,d=5272.901784905158
v,35,cs,5406.517361956748,d=5799.475801258863
v,28,cs,6160.7106864854095,d=5238.738020191057
v,26,cs,6942.791838753507,d=5079.5564711218085
v,24,cs,7737.837280107712,d=5053.757800873673
v,27,cs,6650.755819785541,d=4959.524515671108
./data/A-n62-k8.vrp,COMMENT : (Augerat et al, Min no of trucks: 8, Best value: 1290),
v,43,cs,4701.022595938337,d=5966.3863533545145
v,25,cs,7089.243694007671,d=4931.961825375715
v,34,cs,5409.3198169121115,d=5528.997333374692
v,41,cs,4937.5503408976665,d=5864.254689288974
v,36,cs,5343.117442144505,d=5540.641996786379
v,30,cs,5988.665158290068,d=5498.801394890824
v,37,cs,5245.932051689259,d=5861.747222781446
v,32,cs,5704.787692969229,d=5221.955015785597
v,13,cs,11837.560624876494,d=4599.912898007874
v,15,cs,10061.766392363636,d=4223.704115368801
v,18,cs,9613.530910168687,d=4529.275643299294
v,20,cs,9012.724219691618,d=4398.058649909856
v,22,cs,8211.388567019996,d=4721.9733945053795
v,23,cs,8079.885360838666,d=4712.818607174055
v,26,cs,6969.063894036045,d=4788.758477256565
v,21,cs,8735.798297571826,d=4339.44145993422
v,31,cs,5816.5165197129445,d=5142.379155817925
v,29,cs,6375.724878913984,d=5123.023023008359
v,62,cs,3553.0893724145676,d=7106.178744829135
v,47,cs,4511.93875303186,d=6403.811751799335
v,48,cs,4294.623823301546,d=6149.383971769352
v,33,cs,5491.430300411576,d=5215.181932384577
v,40,cs,5042.540232836743,d=5876.720123745821
v,38,cs,5175.389808527291,d=5338.187344313205
v,27,cs,6515.638665008263,d=5095.66126729405
v,24,cs,7961.630177769934,d=5015.3198797454215
./data/A-n62-k8.vrp,COMMENT : (Augerat et al, Min no of trucks: 8, Best value: 1290),
v,32,cs,5761.010112776062,d=5545.58713166516
v,28,cs,6245.653034254288,d=5361.268723511183
v,30,cs,5790.156735491101,d=5539.096440120592
v,27,cs,6556.18025591344,d=5020.626398038995
v,18,cs,9478.20784351584,d=4370.265317553628
v,34,cs,5385.507595730915,d=5568.3742944738415
v,25,cs,7111.474814163133,d=5050.899678533261
v,22,cs,7472.174907545092,d=4329.210587817793
v,33,cs,5576.802662525486,d=5713.7049228725255
v,24,cs,7443.133535883908,d=5205.3415605628115
v,26,cs,6847.786498657774,d=5073.392540084717
v,36,cs,5221.405429448336,d=5447.1086794920375
v,37,cs,5077.774430651445,d=5793.279701902672
v,29,cs,6177.984961297,d=5439.571531139401
v,39,cs,4984.467669242615,d=5915.49349320908
v,35,cs,5225.3167214460445,d=5788.532257745493
v,8,cs,16227.519095965004,d=3936.527852160417
v,15,cs,10714.059617372392,d=4493.380780542533
v,14,cs,12461.867801500779,d=4254.566696405692
v,17,cs,10238.992372830155,d=4008.080630269682
v,21,cs,8836.620800993282,d=4659.790007716878
v,19,cs,9156.500536924363,d=4977.875148215452
v,20,cs,8918.803156324144,d=4945.132337229241
./data/A-n62-k8.vrp,COMMENT : (Augerat et al, Min no of trucks: 8, Best value: 1290),
v,31,cs,5698.956918766401,d=5339.2881160873285
v,36,cs,5414.403935000071,d=5541.178904335286
v,29,cs,6255.611572006144,d=5106.15898718587
v,37,cs,5351.800043458785,d=5805.22701391667
v,44,cs,4702.172698241837,d=6022.221096395827
v,43,cs,4736.183878174678,d=6298.600883058943
v,38,cs,4883.241985161998,d=6019.794728275018
v,11,cs,14040.3049850764,d=4600.023954043529
v,13,cs,12418.14060107672,d=4178.9488757161125
v,15,cs,11091.05676156879,d=4265.648275084594
v,18,cs,10569.168779231275,d=4455.656635758653
v,27,cs,6604.137948836637,d=4686.874755294517
v,28,cs,6306.249369371382,d=5306.832257338258
v,22,cs,8708.0949782056,d=4770.68936599721
v,24,cs,7143.340141706012,d=5080.011277412469
v,26,cs,6825.999571904181,d=4823.748017485292
v,21,cs,9423.798247343939,d=4556.107654534903
v,30,cs,5987.07649962897,d=5277.386782384023
v,34,cs,5499.938040316924,d=5411.942430132005
v,62,cs,3553.089372414568,d=7106.178744829136
v,48,cs,4563.172309640731,d=6210.225660203306
v,52,cs,4148.553671832795,d=6810.636487651759
v,54,cs,3920.41118936442,d=6694.545939814097
v,49,cs,4398.0207057252055,d=6218.763035998535
v,50,cs,4314.001343262257,d=6441.532218307125
v,45,cs,4565.266395251136,d=6087.416505037526
v,35,cs,5494.684660730522,d=5730.947108364609
./data/A-n62-k8.vrp,COMMENT : (Augerat et al, Min no of trucks: 8, Best value: 1290),
v,30,cs,6044.511429695682,d=5019.771056543345
v,27,cs,6321.842232573401,d=5016.07655368326
v,52,cs,4410.139943069475,d=6391.178180004988
v,45,cs,4761.975289634091,d=6024.389603756458
v,31,cs,5896.837082150375,d=5663.298843849791
v,23,cs,7319.953819133924,d=4744.243786665458
v,21,cs,8896.433415585674,d=4222.820392663511
v,29,cs,6162.9986101563645,d=5097.9425826192855
v,26,cs,6584.533750552243,d=4944.4199952976915
v,9,cs,15094.322305784848,d=3922.9928633268237
v,15,cs,10263.448997955571,d=4286.635046026033
v,13,cs,11413.69824870894,d=4199.912125480751
v,19,cs,9398.755888962933,d=4306.710103959136
v,33,cs,5403.8197334858005,d=5287.561323909225
v,37,cs,5264.988852371658,d=5582.811227656694
v,39,cs,5112.506977136945,d=5782.212582019125
./data/A-n62-k8.vrp,COMMENT : (Augerat et al, Min no of trucks: 8, Best value: 1290),
v,28,cs,6288.575825659135,d=5111.644333765102
v,13,cs,12719.101061993826,d=4099.516167506918
v,15,cs,12386.98014102351,d=4274.19565773896
v,25,cs,7239.646632503385,d=4873.698035353733
v,22,cs,7925.046579899427,d=4670.937578224783
v,26,cs,6585.399145605414,d=4787.693426087179
v,29,cs,6194.422706493638,d=5039.154409799912
v,32,cs,5800.323756698179,d=5327.811849306562
v,43,cs,4592.241481078115,d=5982.287651051228
v,18,cs,9038.843115212336,d=4544.130675950663
v,16,cs,11984.993055231014,d=4214.470494469727
v,51,cs,4195.042309180913,d=6631.28909019924
v,53,cs,3987.780070139805,d=6682.706649908567
v,45,cs,4312.342835974174,d=6383.704220841679
v,36,cs,5093.492075957282,d=5477.191901176975
v,38,cs,4941.478832523103,d=5782.674979311297
v,40,cs,4868.210024512891,d=6056.200877857743
v,35,cs,5404.049402226579,d=5301.368638993247
v,30,cs,5882.590484257227,d=5024.966890687084
v,62,cs,3553.089372414569,d=7106.178744829138
v,57,cs,3813.7087861020627,d=6855.152592831491
v,54,cs,3928.5574265258656,d=6772.195113259916
v,52,cs,4163.1740235033485,d=6309.871787086765
v,49,cs,4232.430488957602,d=6420.789510520009
v,42,cs,4749.971959657075,d=6018.183246614683
v,34,cs,5466.108592526403,d=5729.355286238874
v,33,cs,5578.695316353277,d=5451.682769644502
v,24,cs,7619.162986074415,d=4985.446116914654
./data/A-n62-k8.vrp,COMMENT : (Augerat et al, Min no of trucks: 8, Best value: 1290),
v,14,cs,12243.79174916407,d=4199.463679679739
v,62,cs,3553.0893724145667,d=7106.178744829133
v,46,cs,4693.015172852687,d=6129.540179411168
v,15,cs,12067.311916260429,d=4487.585304862834
v,50,cs,4211.23044577497,d=6438.278307582582
v,43,cs,4754.19345859785,d=5826.202290724427
v,37,cs,5160.277718136881,d=5743.487318703446
v,39,cs,4824.559072986096,d=5735.645759509373
v,22,cs,8391.844043076226,d=4430.335964816556
v,26,cs,6593.245340547495,d=5134.549687702266
v,35,cs,5375.635332655174,d=5443.495922966625
v,24,cs,7514.748034349506,d=4394.587369311037
v,25,cs,7328.379734446432,d=4419.86749565278
v,28,cs,6146.418456748176,d=5168.164915661118
v,30,cs,6008.074613334859,d=5179.490053133842
v,31,cs,5681.020473763444,d=5519.818714544704
v,34,cs,5468.137468310589,d=5457.098356087174
v,33,cs,5613.384601055077,d=5817.162853755128
Grand front,A-n62-k8.vrp,n,38,obj0Max,62.0,obj0Min,8.0,obj1Max,16227.519095965004,obj1Min,3553.0893724145667
V,40,CS,4694.492885896868
V,25,CS,6937.404559332511
V,60,CS,3677.0691683327254
V,55,CS,3784.0389784198424
V,44,CS,4571.545463039051
V,37,CS,5047.81772870107
V,33,CS,5292.48626627863
V,29,CS,5891.261418925892
V,32,CS,5389.452524390251
V,19,CS,8898.100101522621
V,26,CS,6446.3297155107275
V,20,CS,8839.507262384695
V,52,CS,4042.0967164490316
V,49,CS,4175.957060797533
V,48,CS,4234.215878568808
V,21,CS,8127.62744283326
V,36,CS,5072.029661958882
V,15,CS,10061.766392363636
V,30,CS,5790.156735491101
V,22,CS,7472.174907545092
V,35,CS,5225.3167214460445
V,8,CS,16227.519095965004
V,38,CS,4883.241985161998
V,11,CS,14040.3049850764
V,24,CS,7143.340141706012
V,54,CS,3920.41118936442
V,27,CS,6321.842232573401
V,23,CS,7319.953819133924
V,9,CS,15094.322305784848
V,13,CS,11413.69824870894
V,43,CS,4592.241481078115
V,18,CS,9038.843115212336
V,53,CS,3987.780070139805
V,45,CS,4312.342835974174
V,62,CS,3553.0893724145667
V,39,CS,4824.559072986096
V,28,CS,6146.418456748176
V,31,CS,5681.020473763444
./data/A-n63-k9.vrp,COMMENT : (Augerat et al, Min no of trucks: 9, Best value: 1634),
v,40,cs,6252.426854499043,d=6874.626616865423
v,24,cs,8944.25005562283,d=5451.319410892907
v,41,cs,6191.392919857366,d=6851.802440804142
v,27,cs,8403.710473333762,d=5756.826962457077
v,28,cs,7860.458221831903,d=5530.219613614562
v,33,cs,6884.560137956378,d=6432.307221363598
v,43,cs,5817.63033793945,d=6918.682324463416
v,35,cs,6446.7576296847255,d=6426.515528756245
v,30,cs,7508.086743087908,d=6048.8780382086725
v,32,cs,7176.390314610837,d=6050.911427390499
v,21,cs,10540.776250969158,d=5215.463875342466
v,26,cs,8672.57395240019,d=5834.795949353217
v,29,cs,7716.904678819361,d=5876.917508159886
v,31,cs,7318.067171312727,d=6205.567807752923
v,22,cs,9877.091968118919,d=4891.8998868221615
v,34,cs,6776.645374457759,d=6364.938199695695
v,38,cs,6411.813029278332,d=6673.925737711935
v,39,cs,6301.8059784314955,d=6798.130936165545
./data/A-n63-k9.vrp,COMMENT : (Augerat et al, Min no of trucks: 9, Best value: 1634),
v,30,cs,7528.734939763458,d=6214.062539079267
v,35,cs,6307.11867797596,d=6460.486383543454
v,26,cs,8764.15460899628,d=5685.709558078029
v,34,cs,6900.290133093511,d=6442.679942979758
v,15,cs,12955.855305258408,d=4545.125719748561
v,10,cs,16504.26514466529,d=4278.412459575908
v,24,cs,8956.776864021462,d=5337.1572498930955
v,27,cs,8478.55085246367,d=5620.559841030238
v,27,cs,8478.55085246367,d=5620.559841030238
v,28,cs,8061.925323476534,d=5666.377514549552
v,29,cs,7823.120459429197,d=5418.4856941172875
v,33,cs,6949.328011951033,d=6496.918908893297
v,40,cs,6234.530470153982,d=6990.457400988615
v,41,cs,6119.1796943039735,d=6896.668629204242
v,31,cs,7011.002611766216,d=6125.041829246052
v,53,cs,5093.42696808749,d=7737.789592079848
v,56,cs,4894.300801797147,d=7826.997918603222
v,51,cs,5094.852030188624,d=7821.81154945632
v,49,cs,5406.302955066419,d=7356.959438430901
v,45,cs,5750.315926650742,d=7196.887995162175
v,18,cs,12091.00356699027,d=4934.844816738034
v,17,cs,12457.235006296109,d=4884.884888457346
v,14,cs,13899.898142834027,d=4726.708907808546
v,21,cs,10431.009551266814,d=5425.63158711778
v,20,cs,11094.38706703815,d=5348.7949574791855
v,22,cs,9594.064341252655,d=5517.935508695271
v,63,cs,4360.9691135290295,d=8721.938227058059
v,54,cs,4958.309009579227,d=7991.058448069784
v,50,cs,5152.0268360682485,d=7761.272981491267
v,46,cs,5548.815960167039,d=7439.8134154403615
v,42,cs,5858.495448345404,d=6983.354103031101
./data/A-n63-k9.vrp,COMMENT : (Augerat et al, Min no of trucks: 9, Best value: 1634),
v,28,cs,7587.819070762875,d=5837.38243799859
v,31,cs,7306.418170598536,d=6326.383407149512
v,13,cs,16681.19902869902,d=4558.233045898868
v,18,cs,12226.11189808929,d=4821.862883637198
v,37,cs,6477.9093283135235,d=6763.871147153437
v,33,cs,6985.557354520023,d=6510.773263613822
v,44,cs,5979.42456855252,d=6950.356326294188
v,39,cs,6283.43963044641,d=6759.191330534581
v,40,cs,6184.118160930426,d=6859.529454818735
v,24,cs,9475.405143367008,d=5350.257013489656
v,38,cs,6473.670272859143,d=6900.760430581443
v,41,cs,5982.112304689418,d=6940.8751704505485
v,32,cs,7181.059165120657,d=6250.573533965584
v,36,cs,6758.9736555835525,d=6676.601711970704
v,34,cs,6884.967390844181,d=6423.409507397082
v,30,cs,7479.508633589867,d=5897.412029571711
v,26,cs,8559.688261573636,d=5666.848209189906
./data/A-n63-k9.vrp,COMMENT : (Augerat et al, Min no of trucks: 9, Best value: 1634),
v,17,cs,12228.142088869414,d=4776.971037172786
v,53,cs,5151.389961441708,d=7946.071028489576
v,40,cs,6183.951942019952,d=6928.579965917933
v,34,cs,6933.839067514522,d=6410.303213953332
v,32,cs,7194.13382740198,d=6298.00994024711
v,52,cs,5186.8816471349055,d=7853.67885216929
v,47,cs,5512.387372605827,d=7535.7597254462935
v,51,cs,5225.755175075112,d=8030.525452225484
v,38,cs,6556.000609718822,d=6601.635593631951
v,41,cs,5854.057677140712,d=7096.654655571475
v,18,cs,11646.907906895105,d=4713.641447001862
v,22,cs,10033.43200695767,d=5414.8840610925745
v,20,cs,10572.13617894603,d=5249.972184211135
v,21,cs,10203.059234627752,d=5168.7043021093705
v,35,cs,6654.168715137405,d=6339.574945333082
v,33,cs,7088.159007556385,d=5947.2480621933755
v,30,cs,7511.13946868855,d=6145.782246594532
v,39,cs,6276.462276585075,d=6832.995106715345
v,36,cs,6578.814969592865,d=6506.812607770145
v,10,cs,15981.072937961168,d=4087.997850369446
v,12,cs,14624.977205455129,d=4297.72060143395
v,15,cs,13061.345190398073,d=4670.264320132869
v,29,cs,7836.962005278876,d=5827.696702970212
v,31,cs,7257.592591988417,d=6184.157343221752
v,24,cs,9306.038635436078,d=5450.099563126475
v,28,cs,8032.3913254299205,d=5670.473764695864
v,26,cs,8504.69932334114,d=5560.70718821918
./data/A-n63-k9.vrp,COMMENT : (Augerat et al, Min no of trucks: 9, Best value: 1634),
v,18,cs,13001.177153242197,d=4657.222350069494
v,30,cs,7512.060041533272,d=5926.817716031006
v,31,cs,7339.58982553405,d=5741.2991831092595
v,49,cs,5583.206691056929,d=7040.964721260189
v,54,cs,5182.345708571931,d=7994.405374504497
v,58,cs,4867.824543681961,d=8066.664275842394
v,51,cs,5297.50201258207,d=7748.782905525952
v,43,cs,5881.61896930802,d=7085.485253418772
v,45,cs,5588.188130032877,d=7261.740923257209
v,28,cs,8366.22627372336,d=5612.898436020845
v,24,cs,8992.189059253424,d=5077.941400732778
v,20,cs,10185.98620107584,d=5133.334507330154
v,23,cs,9795.59444180223,d=5195.216395507267
v,29,cs,7809.0114947037,d=6259.6475416406565
v,39,cs,6215.572879012072,d=6898.6261541444965
v,27,cs,8440.99434941174,d=5628.6698487684835
v,33,cs,7109.093260206209,d=6487.401594763457
v,36,cs,6575.297684017137,d=6588.220739470051
v,38,cs,6289.492552074371,d=6456.435290821464
v,35,cs,6732.765506794331,d=6739.917133348805
v,32,cs,7264.139349455621,d=6252.142501747092
v,34,cs,7044.802801663595,d=6324.70515692467
v,37,cs,6567.778578889405,d=6624.114365483802
v,41,cs,6018.039648834082,d=6949.085685199039
./data/A-n63-k9.vrp,COMMENT : (Augerat et al, Min no of trucks: 9, Best value: 1634),
v,41,cs,6006.605508176655,d=7025.771137560564
v,35,cs,6583.221495676528,d=6401.181645951923
v,28,cs,7723.304595312023,d=5524.341709571799
v,27,cs,8432.89450568041,d=5735.623915879554
v,25,cs,8746.039540036469,d=5672.984334842774
v,24,cs,9496.404739169213,d=5370.697696739054
v,23,cs,9721.135898066379,d=5471.789210902185
v,22,cs,10028.250900968598,d=5106.278125230383
v,15,cs,14663.681669924203,d=4628.365952473476
v,16,cs,13432.393587573046,d=5006.684745716669
v,18,cs,11807.89613957042,d=5013.727529143516
v,21,cs,10074.27613551334,d=5292.596174504859
v,38,cs,6462.214863591726,d=6886.956882985072
v,39,cs,6284.055880246326,d=6551.397250858635
v,10,cs,16958.530457364883,d=4476.8047386818225
v,32,cs,7002.187767013793,d=5805.932832186965
v,34,cs,6686.570211866705,d=6324.333400935129
v,30,cs,7450.264441733607,d=6654.1215670231
v,63,cs,4360.96911352903,d=8721.93822705806
v,53,cs,5051.679739376691,d=8025.141653979874
v,51,cs,5108.931849936386,d=8000.2831726052955
v,49,cs,5239.563231704515,d=7681.448183064846
v,48,cs,5367.9135733910025,d=7544.25967034216
v,50,cs,5199.598192833018,d=7767.351198960514
v,46,cs,5519.667443532758,d=7736.219301616788
v,40,cs,6145.703675793717,d=6893.468775662029
v,42,cs,5864.9344983486535,d=7164.6270325710375
./data/A-n63-k9.vrp,COMMENT : (Augerat et al, Min no of trucks: 9, Best value: 1634),
v,33,cs,6993.468935984273,d=6415.607673097279
v,27,cs,8132.91247085509,d=5633.655620968208
v,16,cs,12621.14753415526,d=4952.669269730461
v,24,cs,9341.210464213133,d=5342.045639573893
v,28,cs,8017.496417871747,d=5734.774591337283
v,21,cs,10327.400990810145,d=5221.882259923658
v,25,cs,8909.545016319522,d=5574.506964207
v,29,cs,7802.0373228813305,d=5925.587263638889
v,30,cs,7472.0722280308855,d=6119.191914826919
v,36,cs,6750.0065408465225,d=6587.13197509884
v,26,cs,8286.36868712752,d=6064.601373998986
v,31,cs,7364.045162198592,d=6046.885159205171
v,46,cs,5674.249889842248,d=7238.580687800572
v,34,cs,6868.447901747803,d=6508.851779161288
v,40,cs,6122.332087413061,d=7008.497176231329
v,37,cs,6671.717744870136,d=6776.687503649018
v,39,cs,6254.036784697044,d=6810.747656541735
v,10,cs,16233.01689339747,d=4243.2886861839415
v,15,cs,14087.905316488916,d=4703.6969327243
v,20,cs,10918.893371390277,d=5312.040065768487
v,23,cs,9590.292458321528,d=5658.466925383622
v,18,cs,11755.485989512932,d=5136.998351485856
v,19,cs,11058.101801922261,d=5038.962810895083
v,63,cs,4360.9691135290295,d=8721.938227058059
v,52,cs,5295.919159184655,d=7627.361355392109
v,54,cs,5004.032085273735,d=7887.356249242019
v,53,cs,5168.956310298441,d=7843.93080439764
v,51,cs,5299.997147517739,d=7704.918592420472
v,56,cs,4870.737998470631,d=8151.735064470331
v,48,cs,5517.713470299311,d=7419.905060998517
v,42,cs,6064.639213278367,d=6939.728355549145
v,44,cs,5994.630181528454,d=7169.813907775117
v,38,cs,6493.877172086011,d=6567.2189410213605
./data/A-n63-k9.vrp,COMMENT : (Augerat et al, Min no of trucks: 9, Best value: 1634),
v,31,cs,6952.630628795701,d=6222.174222805152
v,27,cs,8211.150618966247,d=5774.410811564404
v,32,cs,6942.745481789796,d=6196.6169792084565
v,25,cs,9012.386969535995,d=5674.24631825946
v,63,cs,4360.96911352903,d=8721.93822705806
v,52,cs,5130.348892086615,d=7792.771164959449
v,48,cs,5535.261545455851,d=7280.192443333411
v,16,cs,13053.810399784586,d=4579.76478169269
v,19,cs,11323.81090404875,d=5062.964149154172
v,18,cs,11988.095692046465,d=4717.411243950986
v,17,cs,12974.533615399401,d=4809.081720141732
v,20,cs,10831.078548439842,d=4646.989775398431
v,24,cs,10436.92921720505,d=5522.028986617668
v,54,cs,5090.87112055703,d=8011.542534690104
v,47,cs,5655.623974383886,d=7544.8845440873465
v,45,cs,5816.727749526444,d=6825.230837697474
v,42,cs,5899.400542439274,d=6916.092548660405
v,40,cs,6193.064627750054,d=6647.757079887683
v,44,cs,5821.236290625786,d=6876.198710639845
v,29,cs,7815.040790184791,d=5922.85057352287
v,36,cs,6624.437492472788,d=6584.094216117651
v,26,cs,8692.23147130304,d=5370.7249921657785
v,41,cs,6098.8373474687705,d=6943.36988639068
