Dimensions,9,,,,,,,,,,,,,,,,,,
Normalised,5,,,,,,,,,,,,,,,,,,
Evals,1000000,,,,,,,,,,,,,,,,,,
key,dist,emissions,byMD,MDs in use,Time,WalkDels,CycleDels,EvanDels,fixed cost,running cost,actual emissions,actual byMd,Actual MDs in use,Actual Time,Actual WalkDels,Actual CycleDels,Actual EvanDels,Actual fixed cost,Actual running cost
1:5:1:2:1:2:4:2:4,0.399436195,1,5,1,2,1,2,4,2,4,0.21967992,0.96,0.057142857,0.286009919,1.00E-05,0.28,0.68,0.44,0.66471845
2:3:1:5:2:1:1:2:4,0.340605113,2,3,1,5,2,1,1,2,4,0.414011925,0.48,0.085714286,1,0.28,1.00E-05,0.2,0.27,0.670947396
3:3:1:2:1:3:1:1:4,0.343815214,3,3,1,2,1,3,1,1,4,0.526775183,0.48,0.057142857,0.369033578,1.00E-05,0.48,1.00E-05,0.14,0.689225904
2:5:1:2:1:3:2:2:3,0.306326167,2,5,1,2,1,3,2,2,3,0.233663591,0.92,0.085714286,0.380411758,1.00E-05,0.64,0.28,0.29,0.537410609
2:5:1:5:3:2:2:4:5,0.712926874,2,5,1,5,3,2,2,4,5,0.291731475,0.96,0.2,0.977330614,0.48,0.24,0.24,0.66,0.93306856
1:5:1:5:2:2:3:4:5,0.642769109,1,5,1,5,2,2,3,4,5,0.213975365,1,0.142857143,1,0.24,0.28,0.48,0.76,0.895825415
1:5:1:3:1:1:3:3:4,0.616973971,1,5,1,3,1,1,3,3,4,0.213641413,1,0.114285714,0.502339974,0.16,0.2,0.64,0.48,0.847176119
2:3:1:2:1:2:2:2:3,0.198095771,2,3,1,2,1,2,2,2,3,0.341114681,0.6,0.057142857,0.304922631,1.00E-05,0.36,0.24,0.27,0.48918826
2:5:1:5:2:2:1:2:4,0.500801932,2,5,1,5,2,2,1,2,4,0.24401256,0.92,0.142857143,1,0.36,0.44,0.12,0.32,0.715660184
3:3:1:5:2:2:1:1:5,0.560713414,3,3,1,5,2,2,1,1,5,0.630754507,0.52,0.142857143,1,0.24,0.28,1.00E-05,0.17,0.931001491
1:5:1:5:1:1:3:3:5,0.609153614,1,5,1,5,1,1,3,3,5,0.215780062,1,0.114285714,1,0.2,0.16,0.64,0.62,0.8808661
2:4:1:1:1:1:4:3:3,0.261197213,2,4,1,1,1,1,4,3,3,0.267352347,0.84,0.085714286,0.082111224,1.00E-05,1.00E-05,0.84,0.55,0.57517229
2:5:1:2:1:1:4:5:5,0.598757587,2,5,1,2,1,1,4,5,5,0.256991217,0.92,0.114285714,0.223499996,0.08,0.16,0.68,0.9,0.932547706
1:5:1:5:2:2:2:4:5,0.645028867,1,5,1,5,2,2,2,4,5,0.200829072,1,0.114285714,1,0.28,0.36,0.36,0.75,0.887703397
1:5:1:3:1:2:2:3:4,0.454311899,1,5,1,3,1,2,2,3,4,0.210348892,1,0.114285714,0.563923938,0.12,0.44,0.44,0.45,0.694491587
2:5:1:5:1:2:3:2:4,0.378518675,2,5,1,5,1,2,3,2,4,0.289118412,0.92,0.057142857,0.896756793,0.12,0.32,0.48,0.43,0.660167707
1:5:1:5:2:1:4:4:4,0.447877188,1,5,1,5,2,1,4,4,4,0.206379422,1,0.085714286,1,0.28,1.00E-05,0.72,0.72,0.722533402
3:3:1:5:2:1:1:1:4,0.388478855,3,3,1,5,2,1,1,1,4,0.45137212,0.56,0.114285714,1,0.44,0.12,1.00E-05,0.16,0.690605058
2:4:1:2:1:1:4:2:4,0.302895712,2,4,1,2,1,1,4,2,4,0.43082188,0.68,0.057142857,0.24109584,1.00E-05,1.00E-05,0.68,0.4,0.67529381
2:1:1:5:1:1:1:2:3,0.202624555,2,1,1,5,1,1,1,2,3,0.365894447,0.2,0.057142857,0.925715123,0.08,1.00E-05,0.12,0.26,0.505501375
2:4:1:2:1:2:3:2:3,0.232158547,2,4,1,2,1,2,3,2,3,0.279863637,0.76,0.057142857,0.245599652,1.00E-05,0.28,0.48,0.27,0.506160191
2:5:1:5:3:1:2:2:4,0.519309,2,5,1,5,3,1,2,2,4,0.247736508,1,0.142857143,1,0.48,0.2,0.32,0.32,0.741325686
3:2:1:2:1:1:2:2:4,0.270016885,3,2,1,2,1,1,2,2,4,0.54713227,0.28,0.028571429,0.39617636,1.00E-05,1.00E-05,0.28,0.25,0.669910366
2:5:1:3:1:3:2:4:5,0.611046504,2,5,1,3,1,3,2,4,5,0.266497409,0.96,0.114285714,0.598096336,0.04,0.64,0.28,0.75,0.907489537
2:4:1:2:1:2:2:2:4,0.342311875,2,4,1,2,1,2,2,2,4,0.420475017,0.68,0.085714286,0.227300023,1.00E-05,0.36,0.32,0.42,0.6972752
2:3:1:5:1:2:1:1:4,0.363298963,2,3,1,5,1,2,1,1,4,0.438335895,0.48,0.057142857,1,0.04,0.44,1.00E-05,0.15,0.662054541
2:4:1:5:1:2:1:3:4,0.415261478,2,4,1,5,1,2,1,3,4,0.326289635,0.68,0.085714286,1,0.16,0.4,0.12,0.45,0.673451688
1:5:1:1:1:1:5:3:4,0.347860495,1,5,1,1,1,1,5,3,4,0.208902994,0.96,0.057142857,0.211305105,1.00E-05,1.00E-05,0.96,0.55,0.663800005
2:5:1:3:1:1:3:5:4,0.567313688,2,5,1,3,1,1,3,5,4,0.238465083,1,0.114285714,0.502527372,0.16,0.2,0.64,0.89,0.879718566
2:5:1:4:1:2:3:2:3,0.30993285,2,5,1,4,1,2,3,2,3,0.258827077,0.96,0.085714286,0.829228005,0.12,0.32,0.52,0.28,0.564269989
2:5:1:4:1:4:2:3:4,0.512893209,2,5,1,4,1,4,2,3,4,0.315655235,0.96,0.114285714,0.734439502,1.00E-05,0.72,0.24,0.46,0.772887605
2:5:1:5:3:1:2:5:5,0.732635349,2,5,1,5,3,1,2,5,5,0.291975434,1,0.171428571,1,0.6,1.00E-05,0.4,0.9,1
1:5:1:5:3:2:2:3:5,0.69860526,1,5,1,5,3,2,2,3,5,0.187833513,1,0.142857143,1,0.48,0.24,0.28,0.5,0.888027263
2:2:1:4:1:1:2:3:4,0.407227986,2,2,1,4,1,1,2,3,4,0.292311745,0.44,0.057142857,0.821360834,0.04,1.00E-05,0.4,0.56,0.739951864
1:5:1:5:1:2:3:5:5,0.596244237,1,5,1,5,1,2,3,5,5,0.209671421,1,0.142857143,1,0.12,0.28,0.6,0.89,0.8887921
1:5:1:2:1:3:3:3:4,0.403590296,1,5,1,2,1,3,3,3,4,0.206379422,1,0.085714286,0.238964286,1.00E-05,0.52,0.48,0.59,0.662863645
1:5:1:4:1:1:4:2:3,0.300184853,1,5,1,4,1,1,4,2,3,0.21829431,1,0.085714286,0.865063808,0.16,1.00E-05,0.84,0.41,0.582823883
2:4:1:2:1:2:3:3:4,0.366459035,2,4,1,2,1,2,3,3,4,0.280292706,0.84,0.085714286,0.264374648,1.00E-05,0.36,0.48,0.57,0.677186666
1:5:1:3:1:3:3:2:3,0.315647199,1,5,1,3,1,3,3,2,3,0.178317091,0.96,0.057142857,0.503426672,1.00E-05,0.48,0.48,0.29,0.540603176
1:5:1:5:1:3:1:3:5,0.688201122,1,5,1,5,1,3,1,3,5,0.163181329,1,0.085714286,1,0.2,0.6,0.2,0.63,0.88729022
2:5:1:1:1:3:2:3:4,0.424287763,2,5,1,1,1,3,2,3,4,0.262189308,0.96,0.142857143,0.208588457,1.00E-05,0.6,0.36,0.59,0.729762135
2:1:1:1:1:1:1:1:2,0.133562533,2,1,1,1,1,1,1,1,2,0.372046545,0.08,0.028571429,0.162728727,1.00E-05,0.08,1.00E-05,0.12,0.427890488
2:4:1:5:2:1:1:3:4,0.50631547,2,4,1,5,2,1,1,3,4,0.332986847,0.68,0.057142857,1,0.44,0.04,0.2,0.45,0.777430305
3:3:1:2:1:2:1:2:3,0.238614183,3,3,1,2,1,2,1,2,3,0.450028723,0.48,0.057142857,0.266704964,1.00E-05,0.36,0.12,0.27,0.584235216
1:5:1:5:1:1:3:2:3,0.346775073,1,5,1,5,1,1,3,2,3,0.195604809,0.92,0.085714286,1,0.12,0.2,0.6,0.43,0.588716324
2:4:1:5:1:2:1:2:4,0.371235706,2,4,1,5,1,2,1,2,4,0.410325741,0.68,0.114285714,1,0.08,0.4,0.2,0.31,0.667041894
2:5:1:2:1:2:2:4:4,0.50977997,2,5,1,2,1,2,2,4,4,0.229908207,1,0.114285714,0.348160829,0.12,0.44,0.44,0.75,0.796458606
2:5:1:5:1:4:2:3:5,0.610373794,2,5,1,5,1,4,2,3,5,0.316360263,1,0.2,0.891079113,0.04,0.72,0.24,0.62,0.884176015
1:5:1:2:1:3:2:3:3,0.378423835,1,5,1,2,1,3,2,3,3,0.211153078,0.96,0.085714286,0.255787863,1.00E-05,0.56,0.4,0.46,0.613645481
2:5:1:5:2:4:1:3:5,0.696110704,2,5,1,5,2,4,1,3,5,0.227317429,1,0.142857143,1,0.24,0.68,0.08,0.49,0.901264578
2:4:1:5:1:3:2:2:4,0.424211218,2,4,1,5,1,3,2,2,4,0.304860124,0.8,0.114285714,1,0.08,0.48,0.24,0.3,0.704794443
3:3:1:2:1:1:3:2:4,0.289715192,3,3,1,2,1,1,3,2,4,0.443745678,0.56,0.028571429,0.25832757,1.00E-05,1.00E-05,0.56,0.4,0.663024814
2:5:1:5:2:2:2:2:4,0.389398407,2,5,1,5,2,2,2,2,4,0.318739336,0.96,0.114285714,0.918605717,0.24,0.32,0.4,0.29,0.674563938
2:4:1:3:1:4:1:1:4,0.402740174,2,4,1,3,1,4,1,1,4,0.370578341,0.8,0.114285714,0.53431902,0.08,0.72,1.00E-05,0.17,0.662686822
2:5:1:5:1:3:2:2:3,0.371691787,2,5,1,5,1,3,2,2,3,0.251867034,0.96,0.114285714,0.89257093,0.16,0.56,0.24,0.3,0.603707248
2:3:1:3:1:2:2:3:4,0.386561304,2,3,1,3,1,2,2,3,4,0.315110205,0.64,0.057142857,0.578356813,0.04,0.28,0.32,0.58,0.689025887
2:4:1:3:1:3:1:3:4,0.425911717,2,4,1,3,1,3,1,3,4,0.252039678,0.8,0.142857143,0.616442052,1.00E-05,0.64,0.16,0.46,0.666198009
2:1:1:4:1:1:1:1:3,0.158220737,2,1,1,4,1,1,1,1,3,0.367505427,0.12,0.057142857,0.672330078,0.12,1.00E-05,1.00E-05,0.12,0.447195858
1:5:1:5:1:1:4:3:3,0.317604595,1,5,1,5,1,1,4,3,3,0.167138083,1,0.142857143,1,0.2,1.00E-05,0.8,0.57,0.566059279
2:4:1:5:2:2:1:3:5,0.5883368,2,4,1,5,2,2,1,3,5,0.391916118,0.84,0.171428571,1,0.24,0.4,0.2,0.46,0.903507151
1:5:1:5:1:4:1:1:4,0.524279978,1,5,1,5,1,4,1,1,4,0.219293734,0.96,0.085714286,1,0.16,0.8,1.00E-05,0.19,0.693391848
2:4:1:1:1:2:2:2:3,0.212286495,2,4,1,1,1,2,2,2,3,0.269029689,0.76,0.057142857,0.175373763,1.00E-05,0.32,0.44,0.27,0.481640723
2:5:1:1:1:1:4:3:4,0.349274676,2,5,1,1,1,1,4,3,4,0.289448228,0.92,0.114285714,0.065558126,1.00E-05,0.08,0.84,0.57,0.674207768
2:5:1:2:1:1:4:4:4,0.355694527,2,5,1,2,1,1,4,4,4,0.226473839,1,0.142857143,0.399357261,0.12,1.00E-05,0.88,0.71,0.662846759
2:5:2:2:1:5:1:3:5,0.860734334,2,5,2,2,1,5,1,3,5,0.369979521,1,0.228571429,0.415862557,1.00E-05,0.92,0.08,0.54,1
1:4:1:5:1:1:4:2:3,0.270865882,1,4,1,5,1,1,4,2,3,0.198582271,0.84,0.028571429,1,0.16,1.00E-05,0.68,0.26,0.52467035
2:5:1:4:2:1:3:3:5,0.571099316,2,5,1,4,2,1,3,3,5,0.339712048,0.96,0.171428571,0.753165225,0.4,0.08,0.48,0.46,0.890300484
1:5:2:5:1:3:2:3:4,0.639538508,1,5,2,5,1,3,2,3,4,0.215046562,1,0.228571429,0.968254886,0.2,0.48,0.32,0.51,0.84427241
1:5:1:5:1:3:2:4:5,0.602096924,1,5,1,5,1,3,2,4,5,0.216405133,0.96,0.085714286,0.922796433,0.04,0.48,0.44,0.75,0.885619903
1:5:1:5:1:3:1:2:4,0.48357309,1,5,1,5,1,3,1,2,4,0.213992504,0.96,0.085714286,1,0.16,0.64,0.16,0.34,0.676676598
2:4:1:1:1:2:3:2:4,0.325445162,2,4,1,1,1,2,3,2,4,0.392460403,0.84,0.057142857,0.189947204,1.00E-05,0.32,0.52,0.42,0.661909084
2:4:1:4:1:3:1:2:5,0.611463363,2,4,1,4,1,3,1,2,5,0.419743536,0.72,0.142857143,0.689730428,0.12,0.56,0.04,0.32,0.894257236
2:5:1:5:1:1:4:2:5,0.556127652,2,5,1,5,1,1,4,2,5,0.350255404,0.96,0.114285714,1,0.16,1.00E-05,0.8,0.42,0.916191032
2:5:1:4:1:4:1:1:4,0.491474684,2,5,1,4,1,4,1,1,4,0.323864751,0.92,0.142857143,0.702101182,0.12,0.8,1.00E-05,0.19,0.716972724
2:4:1:4:2:2:1:3:4,0.457175498,2,4,1,4,2,2,1,3,4,0.23359737,0.84,0.114285714,0.79883214,0.28,0.36,0.2,0.47,0.686874103
2:5:1:1:1:2:3:2:4,0.369408451,2,5,1,1,1,2,3,2,4,0.258072151,0.92,0.085714286,0.167067,1.00E-05,0.32,0.6,0.42,0.682568321
2:5:1:4:1:2:2:2:4,0.388637541,2,5,1,4,1,2,2,2,4,0.250218669,0.92,0.114285714,0.76355467,0.12,0.36,0.44,0.43,0.662081053
1:5:1:4:1:3:2:4:5,0.635493858,1,5,1,4,1,3,2,4,5,0.216642259,1,0.114285714,0.778189416,0.08,0.48,0.44,0.77,0.89165454
2:5:1:1:1:2:3:3:5,0.548123976,2,5,1,1,1,2,3,3,5,0.33294637,0.96,0.114285714,0.153511828,1.00E-05,0.36,0.6,0.59,0.892990234
2:4:1:2:1:3:1:3:3,0.356982422,2,4,1,2,1,3,1,3,3,0.257897278,0.8,0.085714286,0.246633865,0.04,0.56,0.2,0.45,0.609637534
2:5:1:5:3:1:2:3:5,0.622664639,2,5,1,5,3,1,2,3,5,0.32115479,0.92,0.142857143,1,0.48,1.00E-05,0.44,0.59,0.91437759
1:5:1:5:1:1:4:2:4,0.377797584,1,5,1,5,1,1,4,2,4,0.198666057,0.92,0.057142857,0.927234697,0.04,1.00E-05,0.88,0.41,0.672019068
1:5:1:2:1:2:4:3:5,0.585413634,1,5,1,2,1,2,4,3,5,0.215525311,1,0.114285714,0.245656226,1.00E-05,0.24,0.76,0.59,0.891537993
2:5:2:4:2:2:2:5:5,0.905182383,2,5,2,4,2,2,2,5,5,0.318553011,1,0.228571429,0.74572059,0.24,0.36,0.4,0.94,1
2:3:1:5:1:3:1:1:4,0.37122553,2,3,1,5,1,3,1,1,4,0.423682111,0.6,0.085714286,1,0.08,0.52,1.00E-05,0.15,0.661663395
2:5:1:5:2:4:1:1:5,0.675581564,2,5,1,5,2,4,1,1,5,0.384113227,0.96,0.171428571,1,0.28,0.68,1.00E-05,0.21,0.908190482
1:5:1:4:1:1:3:2:4,0.414858773,1,5,1,4,1,1,3,2,4,0.201904782,0.92,0.057142857,0.707158018,0.12,0.2,0.6,0.43,0.689522456
2:1:1:2:1:1:1:2:3,0.134485005,2,1,1,2,1,1,1,2,3,0.425109853,0.2,0.028571429,0.233479804,1.00E-05,1.00E-05,0.2,0.25,0.467277087
2:5:1:2:1:4:1:3:4,0.436881152,2,5,1,2,1,4,1,3,4,0.279977841,0.96,0.142857143,0.413148183,1.00E-05,0.84,0.12,0.46,0.69601124
2:3:1:3:1:3:1:2:4,0.364387834,2,3,1,3,1,3,1,2,4,0.367850062,0.64,0.085714286,0.487357611,1.00E-05,0.48,0.16,0.29,0.666749827
2:3:1:4:1:1:2:2:3,0.169807809,2,3,1,4,1,1,2,2,3,0.298718994,0.52,0.028571429,0.672330078,0.08,1.00E-05,0.44,0.26,0.451596888
1:5:1:4:1:1:5:4:4,0.392242352,1,5,1,4,1,1,5,4,4,0.197009476,1,0.085714286,0.861881804,0.08,1.00E-05,0.92,0.71,0.690662525
2:4:1:2:1:3:2:2:4,0.36336643,2,4,1,2,1,3,2,2,4,0.409573868,0.84,0.057142857,0.414210433,1.00E-05,0.52,0.32,0.29,0.670230683
2:3:1:2:1:1:2:3:4,0.356017578,2,3,1,2,1,1,2,3,4,0.4211589,0.52,0.085714286,0.228211867,0.16,1.00E-05,0.36,0.56,0.732352684
2:2:1:5:1:1:1:2:4,0.326496095,2,2,1,5,1,1,1,2,4,0.433999172,0.24,0.028571429,0.926243003,0.08,1.00E-05,0.16,0.41,0.67780171
2:3:1:3:1:2:2:2:4,0.359689405,2,3,1,3,1,2,2,2,4,0.338173143,0.64,0.057142857,0.588185694,0.12,0.28,0.24,0.43,0.662280316
2:3:1:5:2:1:1:3:5,0.593438402,2,3,1,5,2,1,1,3,5,0.406606186,0.56,0.142857143,0.933712128,0.28,0.08,0.2,0.46,0.916414687
2:3:1:5:1:3:1:1:3,0.250335288,2,3,1,5,1,3,1,1,3,0.30318033,0.64,0.085714286,0.92693908,0.08,0.56,1.00E-05,0.15,0.495633542
1:5:1:2:1:1:5:4:4,0.369341212,1,5,1,2,1,1,5,4,4,0.17618718,1,0.057142857,0.263360924,1.00E-05,1.00E-05,1,0.7,0.680299139
2:3:1:2:1:1:2:2:3,0.226630805,2,3,1,2,1,1,2,2,3,0.376362114,0.52,0.057142857,0.378933535,0.12,1.00E-05,0.4,0.26,0.552237591
3:4:1:5:2:2:1:1:5,0.602395107,3,4,1,5,2,2,1,1,5,0.465127596,0.72,0.171428571,1,0.44,0.28,1.00E-05,0.18,0.884659517
3:2:1:5:1:1:1:1:3,0.207943622,3,2,1,5,1,1,1,1,3,0.441443573,0.24,0.085714286,1,0.2,0.04,1.00E-05,0.14,0.527672456
2:5:1:3:1:1:4:4:5,0.546404837,2,5,1,3,1,1,4,4,5,0.264500093,1,0.114285714,0.610887265,0.16,1.00E-05,0.84,0.87,0.889667217
2:3:1:1:1:1:3:2:3,0.149917338,2,3,1,1,1,1,3,2,3,0.274097635,0.52,0.028571429,0.03213018,1.00E-05,1.00E-05,0.52,0.25,0.44087803
3:1:1:3:1:1:1:1:3,0.165625132,3,1,1,3,1,1,1,1,3,0.45446988,0.12,0.028571429,0.458586091,0.12,1.00E-05,1.00E-05,0.11,0.497156931
2:4:1:2:1:1:3:3:4,0.346254356,2,4,1,2,1,1,3,3,4,0.388771968,0.68,0.057142857,0.256305065,0.12,1.00E-05,0.56,0.56,0.704201497
3:4:1:5:2:2:1:2:5,0.579348849,3,4,1,5,2,2,1,2,5,0.518641181,0.72,0.171428571,1,0.32,0.36,0.04,0.35,0.899687175
2:4:1:5:1:3:1:2:3,0.31200714,2,4,1,5,1,3,1,2,3,0.281937315,0.68,0.085714286,1,0.08,0.48,0.12,0.3,0.562927294
2:5:1:4:2:1:3:2:4,0.373444287,2,5,1,4,2,1,3,2,4,0.311687833,0.92,0.114285714,0.737793787,0.28,1.00E-05,0.64,0.42,0.691587359
1:5:1:3:1:4:1:3:4,0.484095098,1,5,1,3,1,4,1,3,4,0.182450813,0.96,0.114285714,0.597855531,0.12,0.72,0.12,0.48,0.674578818
2:4:1:5:1:1:4:2:3,0.271997079,2,4,1,5,1,1,4,2,3,0.268496773,0.8,0.057142857,0.926243003,0.12,1.00E-05,0.68,0.26,0.561389695
1:5:1:5:1:4:1:2:5,0.73210446,1,5,1,5,1,4,1,2,5,0.180457164,1,0.142857143,1,0.16,0.76,0.08,0.35,0.896885919
1:4:1:5:1:2:2:2:4,0.4478673,1,4,1,5,1,2,2,2,4,0.201695562,0.76,0.057142857,0.948125784,0.08,0.32,0.36,0.43,0.712546192
2:2:1:2:1:1:2:2:4,0.288924975,2,2,1,2,1,1,2,2,4,0.437382172,0.4,0.057142857,0.249842897,1.00E-05,1.00E-05,0.4,0.4,0.660147746
2:4:1:5:1:1:4:3:5,0.502588098,2,4,1,5,1,1,4,3,5,0.415819718,0.8,0.114285714,1,0.08,1.00E-05,0.72,0.56,0.884682125
2:2:1:5:2:1:1:2:3,0.204087018,2,2,1,5,2,1,1,2,3,0.327669455,0.44,0.057142857,1,0.24,1.00E-05,0.2,0.26,0.479458649
2:3:1:1:1:1:3:3:3,0.252971784,2,3,1,1,1,1,3,3,3,0.341114681,0.6,0.057142857,0.121486242,1.00E-05,1.00E-05,0.6,0.55,0.58722484
2:4:1:4:1:2:3:2:4,0.378461032,2,4,1,4,1,2,3,2,4,0.343498186,0.88,0.057142857,0.846433769,0.04,0.32,0.52,0.28,0.661701205
2:4:1:3:1:3:1:2:4,0.353823795,2,4,1,3,1,3,1,2,4,0.408538174,0.72,0.057142857,0.47761304,1.00E-05,0.52,0.2,0.29,0.666870765
2:4:1:3:1:3:1:3:5,0.610571398,2,4,1,3,1,3,1,3,5,0.32558101,0.68,0.142857143,0.637485404,1.00E-05,0.52,0.16,0.61,0.903216517
2:4:1:1:1:1:3:3:4,0.369517333,2,4,1,1,1,1,3,3,4,0.295949093,0.8,0.114285714,0.124786311,1.00E-05,0.16,0.64,0.57,0.696210513
2:3:1:3:1:1:3:2:4,0.330386255,2,3,1,3,1,1,3,2,4,0.428596181,0.6,0.085714286,0.603744463,0.04,1.00E-05,0.56,0.41,0.688401449
3:2:1:5:1:2:1:1:4,0.311368163,3,2,1,5,1,2,1,1,4,0.536693319,0.44,0.057142857,0.908552543,0.08,0.36,1.00E-05,0.13,0.665793803
2:5:1:2:1:3:3:3:5,0.588198442,2,5,1,2,1,3,3,3,5,0.364443822,1,0.142857143,0.402312543,1.00E-05,0.48,0.52,0.46,0.888106018
2:4:1:5:2:1:2:2:5,0.541212207,2,4,1,5,2,1,2,2,5,0.425371878,0.72,0.142857143,1,0.24,0.2,0.28,0.44,0.88377358
2:2:1:2:1:2:1:2:4,0.337438333,2,2,1,2,1,2,1,2,4,0.418931155,0.4,0.057142857,0.263844379,1.00E-05,0.32,0.08,0.27,0.67204539
2:4:1:1:1:2:3:3:4,0.368753204,2,4,1,1,1,2,3,3,4,0.242286261,0.8,0.057142857,0.186544565,1.00E-05,0.24,0.56,0.57,0.67672675
2:4:1:5:2:1:1:3:5,0.579262572,2,4,1,5,2,1,1,3,5,0.433352626,0.68,0.085714286,1,0.36,0.12,0.2,0.46,0.893577921
1:5:1:4:2:2:3:3:4,0.496946015,1,5,1,4,2,2,3,3,4,0.181759755,1,0.114285714,0.666397675,0.24,0.28,0.48,0.61,0.741698764
2:5:1:4:1:1:4:2:5,0.565985497,2,5,1,4,1,1,4,2,5,0.332540498,0.92,0.114285714,0.864314895,0.16,0.04,0.72,0.44,0.891323422
3:2:1:5:1:2:1:2:4,0.325308989,3,2,1,5,1,2,1,2,4,0.455916931,0.44,0.057142857,1,0.08,0.32,0.04,0.28,0.661912539
2:3:1:4:1:1:3:2:4,0.32035418,2,3,1,4,1,1,3,2,4,0.388224635,0.56,0.057142857,0.831371254,0.08,1.00E-05,0.48,0.41,0.663518778
2:4:1:2:1:3:1:3:4,0.414735864,2,4,1,2,1,3,1,3,4,0.245855204,0.84,0.114285714,0.340438627,0.08,0.6,0.16,0.45,0.663157083
1:5:1:4:1:2:3:2:3,0.29093916,1,5,1,4,1,2,3,2,3,0.211337461,0.92,0.057142857,0.664894319,1.00E-05,0.32,0.6,0.27,0.530501509
2:4:1:1:1:2:3:5:5,0.539633601,2,4,1,1,1,2,3,5,5,0.312323616,0.84,0.171428571,0.083098154,1.00E-05,0.32,0.52,0.89,0.899129296
2:3:1:2:1:1:3:3:4,0.294472857,2,3,1,2,1,1,3,3,4,0.41942909,0.52,0.028571429,0.225905453,1.00E-05,1.00E-05,0.52,0.55,0.661557977
1:5:1:5:1:1:4:3:5,0.594269228,1,5,1,5,1,1,4,3,5,0.186326637,1,0.114285714,0.921556262,0.04,0.08,0.88,0.6,0.880352698
2:5:1:5:2:3:1:1:5,0.723255544,2,5,1,5,2,3,1,1,5,0.315699175,0.92,0.142857143,1,0.4,0.52,1.00E-05,0.21,0.915698188
3:3:1:2:1:1:3:2:3,0.204157049,3,3,1,2,1,1,3,2,3,0.440440994,0.48,0.028571429,0.253921325,1.00E-05,1.00E-05,0.48,0.25,0.557224683
2:4:1:1:1:2:2:3:4,0.392428478,2,4,1,1,1,2,2,3,4,0.283233524,0.84,0.085714286,0.192227496,0.12,0.36,0.36,0.45,0.673744802
2:4:1:5:2:1:1:2:4,0.417007986,2,4,1,5,2,1,1,2,4,0.295225232,0.68,0.114285714,1,0.28,0.2,0.2,0.32,0.663954765
2:4:1:1:1:1:4:3:4,0.304729186,2,4,1,1,1,1,4,3,4,0.393587294,0.76,0.057142857,0.191449726,1.00E-05,1.00E-05,0.76,0.55,0.666369441
2:4:1:1:1:2:2:2:4,0.348053965,2,4,1,1,1,2,2,2,4,0.411128354,0.72,0.057142857,0.214837806,1.00E-05,0.32,0.4,0.42,0.686652777
1:5:1:3:1:3:3:3:4,0.456852478,1,5,1,3,1,3,3,3,4,0.186898348,1,0.057142857,0.492180433,1.00E-05,0.48,0.52,0.59,0.70429371
2:4:1:3:1:1:3:3:5,0.54151728,2,4,1,3,1,1,3,3,5,0.362549967,0.76,0.057142857,0.635971627,0.12,0.16,0.48,0.58,0.886722496
2:3:1:5:2:1:1:1:4,0.380878265,2,3,1,5,2,1,1,1,4,0.403759681,0.48,0.085714286,1,0.28,0.2,1.00E-05,0.14,0.660148323
2:5:1:3:1:2:3:4:5,0.563539785,2,5,1,3,1,2,3,4,5,0.250550363,0.96,0.114285714,0.615449176,1.00E-05,0.36,0.6,0.72,0.881870175
2:3:1:4:1:1:3:2:3,0.200469688,2,3,1,4,1,1,3,2,3,0.277616695,0.56,0.057142857,0.828178357,0.08,1.00E-05,0.48,0.26,0.481890614
2:3:1:5:3:1:1:2:4,0.471450986,2,3,1,5,3,1,1,2,4,0.414878163,0.64,0.142857143,1,0.48,0.12,0.04,0.32,0.755417255
2:5:1:4:2:2:2:4:5,0.605548854,2,5,1,4,2,2,2,4,5,0.226058777,1,0.114285714,0.865992377,0.24,0.32,0.44,0.75,0.887222724
2:5:1:1:1:2:4:4:5,0.555213686,2,5,1,1,1,2,4,4,5,0.276479817,1,0.171428571,0.173940142,1.00E-05,0.28,0.72,0.74,0.880943403
2:2:1:4:1:1:1:2:3,0.175335418,2,2,1,4,1,1,1,2,3,0.305426532,0.28,0.057142857,0.67094602,0.08,1.00E-05,0.2,0.26,0.46038047
2:4:1:4:1:3:1:3:5,0.581933459,2,4,1,4,1,3,1,3,5,0.416194521,0.84,0.2,0.775909975,0.12,0.64,0.08,0.48,0.888307433
2:4:1:5:1:4:1:1:4,0.422422944,2,4,1,5,1,4,1,1,4,0.367309067,0.84,0.142857143,0.959065592,0.08,0.76,1.00E-05,0.18,0.67827461
2:4:1:1:1:2:3:4:4,0.433358589,2,4,1,1,1,2,3,4,4,0.279387149,0.76,0.114285714,0.215208328,1.00E-05,0.24,0.52,0.72,0.75446459
3:4:1:4:1:3:1:2:4,0.473140185,3,4,1,4,1,3,1,2,4,0.485617295,0.76,0.142857143,0.819945542,0.12,0.6,0.04,0.31,0.807995635
2:5:1:3:1:1:4:4:4,0.424951527,2,5,1,3,1,1,4,4,4,0.244077275,0.92,0.114285714,0.509721107,0.08,1.00E-05,0.84,0.86,0.750422319
2:3:1:1:1:1:3:3:4,0.303126824,2,3,1,1,1,1,3,3,4,0.388478858,0.48,0.085714286,0.184638477,1.00E-05,1.00E-05,0.48,0.55,0.662874016
1:4:1:3:1:3:1:2:3,0.320753143,1,4,1,3,1,3,1,2,3,0.205063407,0.68,0.028571429,0.533491598,1.00E-05,0.52,0.16,0.29,0.535655564
