prob,size,demand,avg bags,winlen,dist,time,costDel,getRoutes,getCost,dels/route,loadFactor
A-n46-k7.vrp,46,603,13,1,4 V. High,0 V. Low,2 Medium,3 High,2 Medium,2,37.6875,
A-n46-k7.vrp,46,603,13,1,3 High,0 V. Low,2 Medium,3 High,2 Medium,2,37.6875,
A-n46-k7.vrp,46,603,13,1,3 High,0 V. Low,2 Medium,3 High,2 Medium,3,40.2,
A-n46-k7.vrp,46,603,13,1,3 High,1 Low,0 V. Low,1 Low,0 V. Low,3,50.25,
A-n46-k7.vrp,46,603,13,1,3 High,1 Low,1 Low,2 Medium,1 Low,3,43.07142857,
A-n46-k7.vrp,46,603,13,1,4 V. High,0 V. Low,1 Low,1 Low,1 Low,3,46.38461538,
A-n46-k7.vrp,46,603,13,1,3 High,0 V. Low,1 Low,1 Low,1 Low,3,46.38461538,
A-n46-k7.vrp,46,603,13,1,4 V. High,0 V. Low,1 Low,2 Medium,1 Low,3,43.07142857,
A-n46-k7.vrp,46,603,13,1,3 High,0 V. Low,2 Medium,3 High,2 Medium,3,40.2,
A-n46-k7.vrp,46,603,13,1,3 High,1 Low,0 V. Low,1 Low,0 V. Low,3,50.25,
A-n46-k7.vrp,46,603,13,1,4 V. High,1 Low,0 V. Low,1 Low,0 V. Low,3,50.25,
A-n46-k7.vrp,46,603,13,14,0 V. Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,6,86.14285714,
A-n48-k7.vrp,48,626,13,1,0 V. Low,4 V. High,4 V. High,3 High,4 V. High,2,36.82352941,
A-n48-k7.vrp,48,626,13,1,3 High,1 Low,1 Low,1 Low,1 Low,3,48.15384615,
A-n48-k7.vrp,48,626,13,1,3 High,0 V. Low,1 Low,1 Low,1 Low,3,44.71428571,
A-n48-k7.vrp,48,626,13,1,3 High,0 V. Low,1 Low,1 Low,1 Low,3,44.71428571,
A-n48-k7.vrp,48,626,13,1,3 High,0 V. Low,1 Low,1 Low,1 Low,3,44.71428571,
A-n48-k7.vrp,48,626,13,1,4 V. High,0 V. Low,3 High,4 V. High,3 High,2,34.77777778,
A-n48-k7.vrp,48,626,13,1,3 High,0 V. Low,1 Low,1 Low,1 Low,3,48.15384615,
A-n48-k7.vrp,48,626,13,1,2 Medium,0 V. Low,1 Low,1 Low,1 Low,3,44.71428571,
A-n48-k7.vrp,48,626,13,1,3 High,0 V. Low,2 Medium,3 High,2 Medium,3,39.125,
A-n48-k7.vrp,48,626,13,1,3 High,0 V. Low,1 Low,1 Low,1 Low,3,44.71428571,
A-n48-k7.vrp,48,626,13,1,2 Medium,1 Low,2 Medium,3 High,2 Medium,3,39.125,
A-n48-k7.vrp,48,626,13,1,2 Medium,1 Low,2 Medium,3 High,2 Medium,3,39.125,
A-n48-k7.vrp,48,626,13,1,2 Medium,1 Low,1 Low,2 Medium,1 Low,3,41.73333333,
A-n48-k7.vrp,48,626,13,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,3,41.73333333,
A-n48-k7.vrp,48,626,13,1,2 Medium,0 V. Low,2 Medium,3 High,2 Medium,3,39.125,
A-n48-k7.vrp,48,626,13,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,48.15384615,
A-n48-k7.vrp,48,626,13,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,48.15384615,
A-n48-k7.vrp,48,626,13,1,0 V. Low,2 Medium,1 Low,1 Low,1 Low,3,48.15384615,
A-n48-k7.vrp,48,626,13,1,0 V. Low,1 Low,0 V. Low,0 V. Low,0 V. Low,4,52.16666667,
A-n48-k7.vrp,48,626,13,14,4 V. High,0 V. Low,4 V. High,0 V. Low,4 V. High,6,89.42857143,
A-n48-k7.vrp,48,626,13,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,89.42857143,
A-n48-k7.vrp,48,626,13,14,0 V. Low,3 High,0 V. Low,0 V. Low,0 V. Low,6,89.42857143,
A-n53-k7.vrp,53,664,12,1,0 V. Low,3 High,1 Low,1 Low,1 Low,3,39.05882353,
A-n53-k7.vrp,53,664,12,1,0 V. Low,2 Medium,1 Low,1 Low,1 Low,3,39.05882353,
A-n53-k7.vrp,53,664,12,1,0 V. Low,2 Medium,1 Low,1 Low,1 Low,2,36.88888889,
A-n53-k7.vrp,53,664,12,1,1 Low,2 Medium,2 Medium,2 Medium,2 Medium,2,33.2,
A-n53-k7.vrp,53,664,12,1,2 Medium,3 High,0 V. Low,1 Low,0 V. Low,3,44.26666667,
A-n53-k7.vrp,53,664,12,1,2 Medium,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,47.42857143,
A-n53-k7.vrp,53,664,12,1,3 High,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,47.42857143,
A-n53-k7.vrp,53,664,12,1,4 V. High,0 V. Low,3 High,4 V. High,3 High,1,24.59259259,
A-n53-k7.vrp,53,664,12,1,2 Medium,2 Medium,0 V. Low,1 Low,0 V. Low,3,44.26666667,
A-n53-k7.vrp,53,664,12,1,3 High,0 V. Low,1 Low,1 Low,1 Low,2,36.88888889,
A-n53-k7.vrp,53,664,12,1,2 Medium,3 High,0 V. Low,0 V. Low,0 V. Low,3,47.42857143,
A-n53-k7.vrp,53,664,12,1,3 High,1 Low,0 V. Low,0 V. Low,0 V. Low,3,47.42857143,
A-n53-k7.vrp,53,664,12,1,3 High,0 V. Low,1 Low,1 Low,1 Low,2,36.88888889,
A-n53-k7.vrp,53,664,12,1,2 Medium,2 Medium,1 Low,1 Low,1 Low,3,41.5,
A-n53-k7.vrp,53,664,12,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,22.89655172,
A-n53-k7.vrp,53,664,12,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,22.89655172,
A-n53-k7.vrp,53,664,12,1,2 Medium,2 Medium,1 Low,1 Low,1 Low,3,39.05882353,
A-n53-k7.vrp,53,664,12,1,2 Medium,0 V. Low,0 V. Low,1 Low,0 V. Low,3,44.26666667,
A-n53-k7.vrp,53,664,12,1,2 Medium,4 V. High,0 V. Low,0 V. Low,0 V. Low,4,51.07692308,
A-n53-k7.vrp,53,664,12,1,2 Medium,4 V. High,0 V. Low,0 V. Low,0 V. Low,3,47.42857143,
A-n53-k7.vrp,53,664,12,14,0 V. Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,7,94.85714286,
A-n53-k7.vrp,53,664,12,14,0 V. Low,4 V. High,1 Low,1 Low,1 Low,6,83,
A-n53-k7.vrp,53,664,12,14,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,5,66.4,
A-n53-k7.vrp,53,664,12,14,4 V. High,0 V. Low,2 Medium,1 Low,2 Medium,6,83,
A-n54-k7.vrp,54,669,12,1,2 Medium,2 Medium,3 High,3 High,3 High,2,35.21052632,
A-n54-k7.vrp,54,669,12,1,2 Medium,4 V. High,0 V. Low,0 V. Low,0 V. Low,3,44.6,
A-n54-k7.vrp,54,669,12,1,1 Low,2 Medium,2 Medium,2 Medium,2 Medium,3,37.16666667,
A-n54-k7.vrp,54,669,12,1,2 Medium,2 Medium,3 High,3 High,3 High,2,35.21052632,
A-n54-k7.vrp,54,669,12,1,2 Medium,1 Low,4 V. High,4 V. High,4 V. High,2,33.45,
A-n54-k7.vrp,54,669,12,1,2 Medium,0 V. Low,2 Medium,2 Medium,2 Medium,3,37.16666667,
A-n54-k7.vrp,54,669,12,1,0 V. Low,4 V. High,2 Medium,2 Medium,2 Medium,3,39.35294118,
A-n54-k7.vrp,54,669,12,1,4 V. High,1 Low,2 Medium,2 Medium,2 Medium,3,39.35294118,
A-n54-k7.vrp,54,669,12,14,1 Low,3 High,2 Medium,2 Medium,2 Medium,6,83.625,
A-n54-k7.vrp,54,669,12,14,2 Medium,3 High,0 V. Low,0 V. Low,0 V. Low,7,95.57142857,
A-n54-k7.vrp,54,669,12,14,2 Medium,4 V. High,0 V. Low,0 V. Low,0 V. Low,7,95.57142857,
A-n54-k7.vrp,54,669,12,14,2 Medium,0 V. Low,2 Medium,2 Medium,2 Medium,6,83.625,
A-n54-k7.vrp,54,669,12,14,0 V. Low,3 High,4 V. High,4 V. High,4 V. High,6,74.33333333,
A-n54-k7.vrp,54,669,12,14,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,6,74.33333333,
A-n54-k7.vrp,54,669,12,14,4 V. High,3 High,0 V. Low,0 V. Low,0 V. Low,7,95.57142857,
A-n55-k9.vrp,55,839,15,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,23.97142857,
A-n55-k9.vrp,55,839,15,1,0 V. Low,4 V. High,2 Medium,1 Low,2 Medium,2,38.13636364,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,3 High,3 High,3 High,1,29.96428571,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,3 High,3 High,3 High,1,28.93103448,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,44.15789474,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,46.61111111,
A-n55-k9.vrp,55,839,15,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,46.61111111,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,44.15789474,
A-n55-k9.vrp,55,839,15,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,46.61111111,
A-n55-k9.vrp,55,839,15,1,1 Low,3 High,1 Low,0 V. Low,1 Low,3,49.35294118,
A-n55-k9.vrp,55,839,15,1,1 Low,3 High,1 Low,0 V. Low,1 Low,3,49.35294118,
A-n55-k9.vrp,55,839,15,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,46.61111111,
A-n55-k9.vrp,55,839,15,1,0 V. Low,2 Medium,1 Low,1 Low,1 Low,2,44.15789474,
A-n55-k9.vrp,55,839,15,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,46.61111111,
A-n55-k9.vrp,55,839,15,1,1 Low,2 Medium,1 Low,0 V. Low,1 Low,3,49.35294118,
A-n55-k9.vrp,55,839,15,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,46.61111111,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,46.61111111,
A-n55-k9.vrp,55,839,15,1,2 Medium,0 V. Low,3 High,3 High,3 High,1,28.93103448,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,0 V. Low,0 V. Low,0 V. Low,3,55.93333333,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,0 V. Low,0 V. Low,0 V. Low,3,52.4375,
A-n55-k9.vrp,55,839,15,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,3,49.35294118,
A-n55-k9.vrp,55,839,15,1,2 Medium,1 Low,1 Low,1 Low,1 Low,2,41.95,
A-n55-k9.vrp,55,839,15,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,46.61111111,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,0 V. Low,0 V. Low,0 V. Low,3,52.4375,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,0 V. Low,0 V. Low,0 V. Low,3,49.35294118,
A-n55-k9.vrp,55,839,15,1,2 Medium,0 V. Low,1 Low,1 Low,1 Low,2,41.95,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,44.15789474,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,31.07407407,
A-n55-k9.vrp,55,839,15,1,2 Medium,0 V. Low,3 High,3 High,3 High,1,28.93103448,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,41.95,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,38.13636364,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,39.95238095,
A-n55-k9.vrp,55,839,15,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,39.95238095,
A-n55-k9.vrp,55,839,15,1,0 V. Low,1 Low,1 Low,1 Low,1 Low,2,44.15789474,
A-n55-k9.vrp,55,839,15,1,0 V. Low,2 Medium,1 Low,1 Low,1 Low,2,41.95,
A-n55-k9.vrp,55,839,15,1,3 High,0 V. Low,4 V. High,4 V. High,4 V. High,1,25.42424242,
A-n55-k9.vrp,55,839,15,14,0 V. Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,6,93.22222222,
A-n60-k9.vrp,60,829,13,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,37.68181818,
A-n60-k9.vrp,60,829,13,1,3 High,1 Low,2 Medium,2 Medium,2 Medium,2,39.47619048,
A-n60-k9.vrp,60,829,13,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,2,31.88461538,
A-n60-k9.vrp,60,829,13,1,0 V. Low,4 V. High,2 Medium,2 Medium,2 Medium,2,39.47619048,
A-n60-k9.vrp,60,829,13,1,1 Low,2 Medium,1 Low,2 Medium,1 Low,3,41.45,
A-n60-k9.vrp,60,829,13,1,0 V. Low,2 Medium,1 Low,2 Medium,1 Low,3,41.45,
A-n60-k9.vrp,60,829,13,1,0 V. Low,2 Medium,2 Medium,2 Medium,2 Medium,2,39.47619048,
A-n60-k9.vrp,60,829,13,1,0 V. Low,3 High,1 Low,1 Low,1 Low,3,43.63157895,
A-n60-k9.vrp,60,829,13,1,0 V. Low,2 Medium,2 Medium,2 Medium,2 Medium,3,41.45,
A-n60-k9.vrp,60,829,13,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,43.63157895,
A-n60-k9.vrp,60,829,13,1,0 V. Low,4 V. High,2 Medium,1 Low,2 Medium,3,43.63157895,
A-n60-k9.vrp,60,829,13,1,0 V. Low,3 High,2 Medium,2 Medium,2 Medium,2,39.47619048,
A-n60-k9.vrp,60,829,13,1,3 High,1 Low,1 Low,1 Low,1 Low,3,46.05555556,
A-n60-k9.vrp,60,829,13,1,3 High,1 Low,3 High,3 High,3 High,2,36.04347826,
A-n60-k9.vrp,60,829,13,1,4 V. High,0 V. Low,3 High,3 High,3 High,2,36.04347826,
A-n60-k9.vrp,60,829,13,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,39.47619048,
A-n60-k9.vrp,60,829,13,1,1 Low,1 Low,3 High,3 High,3 High,2,36.04347826,
A-n60-k9.vrp,60,829,13,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,37.68181818,
A-n60-k9.vrp,60,829,13,1,1 Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,48.76470588,
A-n60-k9.vrp,60,829,13,1,0 V. Low,2 Medium,1 Low,1 Low,1 Low,3,46.05555556,
A-n60-k9.vrp,60,829,13,1,1 Low,3 High,0 V. Low,0 V. Low,0 V. Low,3,51.8125,
A-n60-k9.vrp,60,829,13,1,1 Low,3 High,0 V. Low,0 V. Low,0 V. Low,3,48.76470588,
A-n60-k9.vrp,60,829,13,14,4 V. High,0 V. Low,4 V. High,0 V. Low,4 V. High,6,92.11111111,
A-n60-k9.vrp,60,829,13,14,0 V. Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,6,92.11111111,
A-n60-k9.vrp,60,829,13,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,92.11111111,
A-n61-k9.vrp,61,885,14,1,0 V. Low,4 V. High,4 V. High,3 High,4 V. High,2,31.60714286,
A-n61-k9.vrp,61,885,14,1,2 Medium,0 V. Low,0 V. Low,0 V. Low,0 V. Low,3,49.16666667,
A-n61-k9.vrp,61,885,14,1,2 Medium,0 V. Low,0 V. Low,0 V. Low,0 V. Low,3,49.16666667,
A-n61-k9.vrp,61,885,14,1,2 Medium,0 V. Low,0 V. Low,1 Low,0 V. Low,3,46.57894737,
A-n61-k9.vrp,61,885,14,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,46.57894737,
A-n61-k9.vrp,61,885,14,1,2 Medium,0 V. Low,0 V. Low,1 Low,0 V. Low,3,46.57894737,
A-n61-k9.vrp,61,885,14,1,3 High,0 V. Low,1 Low,1 Low,1 Low,2,42.14285714,
A-n61-k9.vrp,61,885,14,1,2 Medium,0 V. Low,0 V. Low,0 V. Low,0 V. Low,3,52.05882353,
A-n61-k9.vrp,61,885,14,1,3 High,0 V. Low,0 V. Low,1 Low,0 V. Low,3,46.57894737,
A-n61-k9.vrp,61,885,14,1,2 Medium,0 V. Low,0 V. Low,0 V. Low,0 V. Low,3,49.16666667,
A-n61-k9.vrp,61,885,14,1,2 Medium,0 V. Low,0 V. Low,0 V. Low,0 V. Low,3,49.16666667,
A-n61-k9.vrp,61,885,14,1,2 Medium,0 V. Low,0 V. Low,1 Low,0 V. Low,3,46.57894737,
A-n61-k9.vrp,61,885,14,1,0 V. Low,1 Low,1 Low,1 Low,1 Low,2,42.14285714,
A-n61-k9.vrp,61,885,14,1,0 V. Low,1 Low,1 Low,1 Low,1 Low,2,40.22727273,
A-n61-k9.vrp,61,885,14,1,0 V. Low,1 Low,1 Low,1 Low,1 Low,3,46.57894737,
A-n61-k9.vrp,61,885,14,1,3 High,0 V. Low,3 High,3 High,3 High,2,32.77777778,
A-n61-k9.vrp,61,885,14,1,0 V. Low,1 Low,1 Low,1 Low,1 Low,3,44.25,
A-n61-k9.vrp,61,885,14,1,2 Medium,0 V. Low,4 V. High,4 V. High,4 V. High,1,27.65625,
A-n61-k9.vrp,61,885,14,1,3 High,0 V. Low,4 V. High,4 V. High,4 V. High,1,27.65625,
A-n61-k9.vrp,61,885,14,1,2 Medium,0 V. Low,1 Low,1 Low,1 Low,2,40.22727273,
A-n61-k9.vrp,61,885,14,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,28.5483871,
A-n61-k9.vrp,61,885,14,1,1 Low,0 V. Low,1 Low,1 Low,1 Low,2,42.14285714,
A-n61-k9.vrp,61,885,14,1,1 Low,0 V. Low,1 Low,1 Low,1 Low,3,44.25,
A-n61-k9.vrp,61,885,14,1,0 V. Low,1 Low,1 Low,1 Low,1 Low,2,42.14285714,
A-n61-k9.vrp,61,885,14,1,1 Low,0 V. Low,2 Medium,2 Medium,2 Medium,2,34.03846154,
A-n61-k9.vrp,61,885,14,1,1 Low,1 Low,0 V. Low,1 Low,0 V. Low,3,46.57894737,
A-n61-k9.vrp,61,885,14,1,2 Medium,0 V. Low,1 Low,1 Low,1 Low,2,42.14285714,
A-n61-k9.vrp,61,885,14,14,4 V. High,0 V. Low,0 V. Low,0 V. Low,0 V. Low,6,88.5,
A-n61-k9.vrp,61,885,14,14,0 V. Low,4 V. High,4 V. High,0 V. Low,4 V. High,6,88.5,
A-n62-k8.vrp,62,733,11,1,2 Medium,1 Low,1 Low,2 Medium,1 Low,3,36.65,
A-n62-k8.vrp,62,733,11,1,1 Low,3 High,3 High,3 High,3 High,2,34.9047619,
A-n62-k8.vrp,62,733,11,1,1 Low,3 High,2 Medium,2 Medium,2 Medium,3,36.65,
A-n62-k8.vrp,62,733,11,1,0 V. Low,3 High,3 High,3 High,3 High,2,34.9047619,
A-n62-k8.vrp,62,733,11,1,3 High,1 Low,1 Low,1 Low,1 Low,3,38.57894737,
A-n62-k8.vrp,62,733,11,1,0 V. Low,3 High,3 High,3 High,3 High,2,33.31818182,
A-n62-k8.vrp,62,733,11,1,1 Low,3 High,1 Low,1 Low,1 Low,3,38.57894737,
A-n62-k8.vrp,62,733,11,1,1 Low,3 High,3 High,3 High,3 High,2,34.9047619,
A-n62-k8.vrp,62,733,11,1,1 Low,2 Medium,2 Medium,3 High,2 Medium,2,34.9047619,
A-n62-k8.vrp,62,733,11,1,1 Low,1 Low,0 V. Low,1 Low,0 V. Low,3,40.72222222,
A-n62-k8.vrp,62,733,11,1,1 Low,3 High,3 High,3 High,3 High,2,33.31818182,
A-n62-k8.vrp,62,733,11,1,1 Low,3 High,4 V. High,4 V. High,4 V. High,2,31.86956522,
A-n62-k8.vrp,62,733,11,1,0 V. Low,3 High,3 High,3 High,3 High,2,33.31818182,
A-n62-k8.vrp,62,733,11,1,3 High,0 V. Low,2 Medium,3 High,2 Medium,2,33.31818182,
A-n62-k8.vrp,62,733,11,1,0 V. Low,4 V. High,2 Medium,2 Medium,2 Medium,3,36.65,
A-n62-k8.vrp,62,733,11,1,2 Medium,0 V. Low,2 Medium,3 High,2 Medium,2,34.9047619,
A-n62-k8.vrp,62,733,11,1,4 V. High,0 V. Low,2 Medium,3 High,2 Medium,2,34.9047619,
A-n62-k8.vrp,62,733,11,1,4 V. High,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,43.11764706,
A-n62-k8.vrp,62,733,11,1,4 V. High,1 Low,0 V. Low,1 Low,0 V. Low,3,40.72222222,
A-n62-k8.vrp,62,733,11,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,7,91.625,
A-n62-k8.vrp,62,733,11,14,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,6,81.44444444,
A-n62-k8.vrp,62,733,11,14,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,6,81.44444444,
A-n62-k8.vrp,62,733,11,14,4 V. High,0 V. Low,1 Low,0 V. Low,1 Low,7,91.625,
A-n63-k9.vrp,63,873,13,1,0 V. Low,4 V. High,3 High,2 Medium,3 High,3,41.57142857,
A-n63-k9.vrp,63,873,13,1,0 V. Low,2 Medium,1 Low,2 Medium,1 Low,3,43.65,
A-n63-k9.vrp,63,873,13,1,1 Low,4 V. High,1 Low,1 Low,1 Low,3,45.94736842,
A-n63-k9.vrp,63,873,13,1,0 V. Low,4 V. High,3 High,2 Medium,3 High,3,41.57142857,
A-n63-k9.vrp,63,873,13,1,2 Medium,3 High,0 V. Low,0 V. Low,0 V. Low,3,48.5,
A-n63-k9.vrp,63,873,13,1,0 V. Low,4 V. High,3 High,2 Medium,3 High,3,41.57142857,
A-n63-k9.vrp,63,873,13,1,1 Low,2 Medium,2 Medium,2 Medium,2 Medium,3,41.57142857,
A-n63-k9.vrp,63,873,13,1,4 V. High,0 V. Low,2 Medium,2 Medium,2 Medium,3,41.57142857,
A-n63-k9.vrp,63,873,13,1,4 V. High,0 V. Low,1 Low,2 Medium,1 Low,3,43.65,
A-n63-k9.vrp,63,873,13,1,2 Medium,2 Medium,4 V. High,4 V. High,4 V. High,2,37.95652174,
A-n63-k9.vrp,63,873,13,1,2 Medium,1 Low,4 V. High,4 V. High,4 V. High,2,37.95652174,
A-n63-k9.vrp,63,873,13,1,1 Low,2 Medium,3 High,3 High,3 High,2,39.68181818,
A-n63-k9.vrp,63,873,13,1,3 High,1 Low,3 High,3 High,3 High,2,39.68181818,
A-n63-k9.vrp,63,873,13,1,2 Medium,2 Medium,2 Medium,2 Medium,2 Medium,3,43.65,
A-n63-k9.vrp,63,873,13,1,4 V. High,1 Low,1 Low,1 Low,1 Low,3,45.94736842,
A-n63-k9.vrp,63,873,13,1,4 V. High,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,48.5,
A-n63-k9.vrp,63,873,13,1,4 V. High,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,48.5,
A-n63-k9.vrp,63,873,13,14,4 V. High,0 V. Low,4 V. High,0 V. Low,4 V. High,6,87.3,
A-n63-k9.vrp,63,873,13,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,87.3,
A-n63-k9.vrp,63,873,13,14,0 V. Low,3 High,0 V. Low,0 V. Low,0 V. Low,6,87.3,
A-n63-k10.vrp,63,932,14,1,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,2,35.84615385,
A-n63-k10.vrp,63,932,14,1,4 V. High,0 V. Low,0 V. Low,0 V. Low,0 V. Low,3,51.77777778,
A-n63-k10.vrp,63,932,14,1,3 High,0 V. Low,1 Low,2 Medium,1 Low,2,42.36363636,
A-n63-k10.vrp,63,932,14,1,2 Medium,0 V. Low,0 V. Low,1 Low,0 V. Low,3,49.05263158,
A-n63-k10.vrp,63,932,14,1,3 High,0 V. Low,2 Medium,4 V. High,2 Medium,2,37.28,
A-n63-k10.vrp,63,932,14,1,3 High,0 V. Low,2 Medium,4 V. High,2 Medium,2,35.84615385,
A-n63-k10.vrp,63,932,14,1,2 Medium,1 Low,1 Low,2 Medium,1 Low,3,44.38095238,
A-n63-k10.vrp,63,932,14,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,42.36363636,
A-n63-k10.vrp,63,932,14,1,2 Medium,1 Low,2 Medium,3 High,2 Medium,2,40.52173913,
A-n63-k10.vrp,63,932,14,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,49.05263158,
A-n63-k10.vrp,63,932,14,1,2 Medium,1 Low,0 V. Low,1 Low,0 V. Low,3,49.05263158,
A-n63-k10.vrp,63,932,14,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,46.6,
A-n63-k10.vrp,63,932,14,1,1 Low,1 Low,1 Low,2 Medium,1 Low,3,44.38095238,
A-n63-k10.vrp,63,932,14,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,46.6,
A-n63-k10.vrp,63,932,14,1,3 High,0 V. Low,1 Low,1 Low,1 Low,3,46.6,
A-n63-k10.vrp,63,932,14,14,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,5,77.66666667,
A-n63-k10.vrp,63,932,14,14,4 V. High,0 V. Low,0 V. Low,0 V. Low,0 V. Low,6,93.2,
A-n64-k9.vrp,64,848,13,1,1 Low,1 Low,3 High,3 High,3 High,2,35.33333333,
A-n64-k9.vrp,64,848,13,1,2 Medium,2 Medium,1 Low,1 Low,1 Low,3,42.4,
A-n64-k9.vrp,64,848,13,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,2,31.40740741,
A-n64-k9.vrp,64,848,13,1,2 Medium,2 Medium,0 V. Low,1 Low,0 V. Low,3,44.63157895,
A-n64-k9.vrp,64,848,13,1,2 Medium,1 Low,0 V. Low,1 Low,0 V. Low,3,44.63157895,
A-n64-k9.vrp,64,848,13,1,3 High,0 V. Low,0 V. Low,1 Low,0 V. Low,3,44.63157895,
A-n64-k9.vrp,64,848,13,1,1 Low,4 V. High,1 Low,1 Low,1 Low,3,44.63157895,
A-n64-k9.vrp,64,848,13,1,2 Medium,0 V. Low,2 Medium,2 Medium,2 Medium,2,38.54545455,
A-n64-k9.vrp,64,848,13,1,4 V. High,0 V. Low,2 Medium,2 Medium,2 Medium,2,38.54545455,
A-n64-k9.vrp,64,848,13,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,38.54545455,
A-n64-k9.vrp,64,848,13,1,1 Low,3 High,1 Low,1 Low,1 Low,3,42.4,
A-n64-k9.vrp,64,848,13,1,0 V. Low,3 High,1 Low,2 Medium,1 Low,3,40.38095238,
A-n64-k9.vrp,64,848,13,1,1 Low,3 High,1 Low,1 Low,1 Low,3,42.4,
A-n64-k9.vrp,64,848,13,1,1 Low,2 Medium,2 Medium,2 Medium,2 Medium,2,38.54545455,
A-n64-k9.vrp,64,848,13,1,1 Low,3 High,1 Low,1 Low,1 Low,3,42.4,
A-n64-k9.vrp,64,848,13,1,1 Low,2 Medium,1 Low,2 Medium,1 Low,3,40.38095238,
A-n64-k9.vrp,64,848,13,1,0 V. Low,4 V. High,1 Low,1 Low,1 Low,3,42.4,
A-n64-k9.vrp,64,848,13,1,1 Low,1 Low,1 Low,2 Medium,1 Low,3,40.38095238,
A-n64-k9.vrp,64,848,13,1,3 High,4 V. High,0 V. Low,0 V. Low,0 V. Low,3,49.88235294,
A-n64-k9.vrp,64,848,13,14,4 V. High,0 V. Low,4 V. High,0 V. Low,4 V. High,7,94.22222222,
