0,1,2,3,4,5,6,7,8,9,,,,,,,
D,5204.993273,T,4854,cBag=3.858362842528284,,,,,,,,,,,,
D,5099.917002,T,4931,cBag=3.8619045487813954,,,,,,,,,,,,
D,5109.40165,T,4873,cBag=3.8499429794782416,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,A-n69-k9.vrp,n,5,obj0Min,4934.765178,obj0Max,5808.242826,obj1Min,4670,obj1Max,6046,obj2Min,3.95440887,obj2Max,5.219606539
D,5808.242826,T,4670,cBag=5.014869125013812,,,,,,,,,,,,
D,4951.382035,T,4747,cBag=4.13812035281077,,,,,,,,,,,,
D,5031.414491,T,4744,cBag=3.9544088703521347,,,,,,,,,,,,
D,4939.080344,T,5664,cBag=4.547541302061723,,,,,,,,,,,,
D,4934.765178,T,6046,cBag=5.21960653937851,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,A-n80-k10.vrp,n,2,obj0Min,7306.347469,obj0Max,7498.330448,obj1Min,6894,obj1Max,7250,obj2Min,4.559771404,obj2Max,4.634440185
D,7498.330448,T,7250,cBag=4.55977140380523,,,,,,,,,,,,
D,7306.347469,T,6894,cBag=4.63444018457356,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n31-k5.vrp,n,9,obj0Min,1360.213311,obj0Max,1574.32714,obj1Min,1682,obj1Max,2162,obj2Min,3.253874455,obj2Max,3.426079994
D,1530.409746,T,1800,cBag=3.298684321025524,,,,,,,,,,,,
D,1574.32714,T,1682,cBag=3.2538744548286744,,,,,,,,,,,,
D,1499.588056,T,1826,cBag=3.3025529186737113,,,,,,,,,,,,
D,1542.210929,T,1702,cBag=3.254462812375648,,,,,,,,,,,,
D,1531.746025,T,1714,cBag=3.257316225498468,,,,,,,,,,,,
D,1489.119778,T,1895,cBag=3.3330752767936023,,,,,,,,,,,,
D,1360.213311,T,2162,cBag=3.4260799935454385,,,,,,,,,,,,
D,1500.245879,T,1815,cBag=3.2973999220528545,,,,,,,,,,,,
D,1389.754921,T,1936,cBag=3.32476049952307,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n34-k5.vrp,n,7,obj0Min,1997.046439,obj0Max,2460.937405,obj1Min,2230,obj1Max,2796,obj2Min,3.400283756,obj2Max,3.888084099
D,2302.861598,T,2380,cBag=3.7843212405173396,,,,,,,,,,,,
D,1997.046439,T,2796,cBag=3.8880840992239962,,,,,,,,,,,,
D,2018.565935,T,2534,cBag=3.778932635468195,,,,,,,,,,,,
D,2285.197143,T,2384,cBag=3.7815493780825102,,,,,,,,,,,,
D,2305.518068,T,2314,cBag=3.7561173171911473,,,,,,,,,,,,
D,2460.937405,T,2230,cBag=3.400283755802656,,,,,,,,,,,,
D,2123.895361,T,2409,cBag=3.751194217111502,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n35-k5.vrp,n,8,obj0Min,2763.55697,obj0Max,3714.707034,obj1Min,2679,obj1Max,3207,obj2Min,3.96878216,obj2Max,4.776947969
D,3714.707034,T,2679,cBag=4.472358633882893,,,,,,,,,,,,
D,3086.818837,T,2766,cBag=3.968782160148479,,,,,,,,,,,,
D,2841.227498,T,3009,cBag=4.389527728333309,,,,,,,,,,,,
D,2803.107632,T,3031,cBag=4.764676414088557,,,,,,,,,,,,
D,2937.831303,T,2979,cBag=4.7769479691021575,,,,,,,,,,,,
D,3066.55058,T,2948,cBag=4.4219368829783035,,,,,,,,,,,,
D,2763.55697,T,3207,cBag=4.459350493071661,,,,,,,,,,,,
D,2776.68487,T,3095,cBag=4.411606704197793,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n38-k6.vrp,n,9,obj0Min,2165.107698,obj0Max,2544.364608,obj1Min,2230,obj1Max,2606,obj2Min,3.414360611,obj2Max,3.945939782
D,2281.941616,T,2542,cBag=3.436303064557185,,,,,,,,,,,,
D,2361.988316,T,2439,cBag=3.4143606113830542,,,,,,,,,,,,
D,2262.052451,T,2605,cBag=3.776679954609251,,,,,,,,,,,,
D,2290.271634,T,2484,cBag=3.4155503539585608,,,,,,,,,,,,
D,2544.364608,T,2386,cBag=3.435333318728806,,,,,,,,,,,,
D,2165.107698,T,2606,cBag=3.4346046889143778,,,,,,,,,,,,
D,2319.86623,T,2425,cBag=3.719578806445824,,,,,,,,,,,,
D,2242.061268,T,2230,cBag=3.945939781885193,,,,,,,,,,,,
D,2329.371552,T,2361,cBag=3.6967509210711818,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n39-k5.vrp,n,4,obj0Min,1969.440517,obj0Max,2017.638823,obj1Min,1970,obj1Max,2150,obj2Min,3.295599414,obj2Max,3.724146683
D,1969.440517,T,2121,cBag=3.7241466830042613,,,,,,,,,,,,
D,2010.179657,T,1994,cBag=3.3045250450990484,,,,,,,,,,,,
D,2017.638823,T,1970,cBag=3.2955994142297214,,,,,,,,,,,,
D,1997.064872,T,2150,cBag=3.371946795527443,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n41-k6.vrp,n,9,obj0Min,2589.598971,obj0Max,3154.24941,obj1Min,2338,obj1Max,3081,obj2Min,3.591682279,obj2Max,4.125293242
D,2870.873787,T,2814,cBag=3.8989281005665055,,,,,,,,,,,,
D,2709.23891,T,2917,cBag=3.6126648192583777,,,,,,,,,,,,
D,2672.816395,T,2921,cBag=3.606559996865082,,,,,,,,,,,,
D,2614.027933,T,2786,cBag=4.125293241953721,,,,,,,,,,,,
D,3154.24941,T,2338,cBag=3.7895012010929903,,,,,,,,,,,,
D,2978.056135,T,2734,cBag=3.603584775643709,,,,,,,,,,,,
D,2589.598971,T,3081,cBag=3.9350671597376983,,,,,,,,,,,,
D,2906.69959,T,2742,cBag=3.5916822787570633,,,,,,,,,,,,
D,2628.073853,T,2838,cBag=3.857292135497166,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n43-k6.vrp,n,4,obj0Min,2186.470493,obj0Max,2286.324318,obj1Min,2252,obj1Max,2412,obj2Min,3.262794978,obj2Max,3.620378211
D,2186.470493,T,2412,cBag=3.6203782105431954,,,,,,,,,,,,
D,2237.075041,T,2278,cBag=3.5803028403627444,,,,,,,,,,,,
D,2260.822082,T,2257,cBag=3.262794978082711,,,,,,,,,,,,
D,2286.324318,T,2252,cBag=3.2666025819357567,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n44-k7.vrp,n,8,obj0Min,2522.359089,obj0Max,3249.829746,obj1Min,3045,obj1Max,3119,obj2Min,3.304481955,obj2Max,4.013619547
D,2965.580627,T,3116,cBag=3.3044819552908815,,,,,,,,,,,,
D,3071.409708,T,3112,cBag=3.3225506018907254,,,,,,,,,,,,
D,3122.256417,T,3049,cBag=3.56802496216045,,,,,,,,,,,,
D,2700.06047,T,3084,cBag=3.501883112297896,,,,,,,,,,,,
D,2766.924188,T,3045,cBag=4.013619547495917,,,,,,,,,,,,
D,2814.579611,T,3054,cBag=3.5134256075362473,,,,,,,,,,,,
D,2522.359089,T,3119,cBag=3.736218429749155,,,,,,,,,,,,
D,3249.829746,T,3047,cBag=3.8465367867410643,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n45-k5.vrp,n,10,obj0Min,2637.630687,obj0Max,2953.262993,obj1Min,2640,obj1Max,3040,obj2Min,3.88790183,obj2Max,4.493734251
D,2896.92217,T,2841,cBag=3.891234349462403,,,,,,,,,,,,
D,2837.223721,T,2883,cBag=3.8941464514594872,,,,,,,,,,,,
D,2934.361449,T,2811,cBag=3.887901830196021,,,,,,,,,,,,
D,2637.630687,T,3040,cBag=3.910705329918534,,,,,,,,,,,,
D,2684.291153,T,2797,cBag=4.1593869647489266,,,,,,,,,,,,
D,2715.853384,T,2771,cBag=4.4937342508159706,,,,,,,,,,,,
D,2953.262993,T,2806,cBag=3.8903945888460054,,,,,,,,,,,,
D,2716.502336,T,2719,cBag=4.135042743517157,,,,,,,,,,,,
D,2940.664789,T,2640,cBag=4.156497490414637,,,,,,,,,,,,
D,2771.753255,T,2986,cBag=3.9207718740800956,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n45-k6.vrp,n,4,obj0Min,2245.554385,obj0Max,2439.821698,obj1Min,2386,obj1Max,3045,obj2Min,3.227464761,obj2Max,3.90067019
D,2247.83549,T,2851,cBag=3.9006701897444445,,,,,,,,,,,,
D,2245.554385,T,3045,cBag=3.4117058497889747,,,,,,,,,,,,
D,2439.821698,T,2386,cBag=3.2274647613279415,,,,,,,,,,,,
D,2254.872661,T,2533,cBag=3.240574495462732,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n50-k7.vrp,n,11,obj0Min,3002.306596,obj0Max,3584.19576,obj1Min,2924,obj1Max,3254,obj2Min,3.642283915,obj2Max,4.601326862
D,3037.989216,T,3221,cBag=3.7958041679665775,,,,,,,,,,,,
D,3153.915032,T,3146,cBag=4.601326861681737,,,,,,,,,,,,
D,3037.866913,T,3222,cBag=3.7961090785206513,,,,,,,,,,,,
D,3075.648489,T,3217,cBag=3.8017255716867706,,,,,,,,,,,,
D,3011.23965,T,3230,cBag=3.793620753854821,,,,,,,,,,,,
D,3128.001893,T,3194,cBag=4.342818097676212,,,,,,,,,,,,
D,3002.306596,T,3238,cBag=3.794531808995721,,,,,,,,,,,,
D,3150.66237,T,3181,cBag=3.804314445523546,,,,,,,,,,,,
D,3230.886101,T,3016,cBag=3.7655396943542043,,,,,,,,,,,,
D,3190.610719,T,2924,cBag=3.9968825190885537,,,,,,,,,,,,
D,3584.19576,T,3254,cBag=3.6422839145314114,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n50-k8.vrp,n,11,obj0Min,3970.808317,obj0Max,4208.334706,obj1Min,3829,obj1Max,3975,obj2Min,3.718707202,obj2Max,3.944965237
D,4031.364292,T,3942,cBag=3.722543703622011,,,,,,,,,,,,
D,4208.334706,T,3875,cBag=3.7324832116916555,,,,,,,,,,,,
D,3989.311531,T,3964,cBag=3.94496523695496,,,,,,,,,,,,
D,4068.06544,T,3829,cBag=3.9207668795623483,,,,,,,,,,,,
D,4049.926991,T,3895,cBag=3.935838718358726,,,,,,,,,,,,
D,4029.99287,T,3959,cBag=3.7269512459728236,,,,,,,,,,,,
D,3970.808317,T,3975,cBag=3.7218837729233467,,,,,,,,,,,,
D,4053.417039,T,3915,cBag=3.718707202136034,,,,,,,,,,,,
D,4181.80284,T,3889,cBag=3.7320692955735906,,,,,,,,,,,,
D,4128.323629,T,3904,cBag=3.7276379110541225,,,,,,,,,,,,
D,4045.697759,T,3927,cBag=3.720743724887529,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n51-k7.vrp,n,2,obj0Min,3483.125095,obj0Max,3754.889658,obj1Min,3767,obj1Max,4104,obj2Min,3.760412412,obj2Max,3.855154439
D,3754.889658,T,4104,cBag=3.7604124122932947,,,,,,,,,,,,
D,3483.125095,T,3767,cBag=3.855154438711126,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n52-k7.vrp,n,8,obj0Min,2966.922801,obj0Max,3137.34034,obj1Min,2981,obj1Max,3417,obj2Min,3.520689099,obj2Max,4.406815128
D,3137.34034,T,2981,cBag=4.025196072255269,,,,,,,,,,,,
D,3089.38356,T,3016,cBag=3.7568611823271265,,,,,,,,,,,,
D,3055.98906,T,3062,cBag=3.7655952474717616,,,,,,,,,,,,
D,3002.418887,T,3068,cBag=3.757232689435446,,,,,,,,,,,,
D,2966.922801,T,3417,cBag=4.406815128323129,,,,,,,,,,,,
D,3016.481339,T,3329,cBag=3.5754592684511497,,,,,,,,,,,,
D,2967.466205,T,3273,cBag=3.8181411650600996,,,,,,,,,,,,
D,3076.389692,T,3128,cBag=3.520689098990479,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n56-k7.vrp,n,9,obj0Min,3062.637109,obj0Max,3217.000275,obj1Min,2990,obj1Max,3719,obj2Min,3.479156109,obj2Max,4.627995784
D,3185.522936,T,3031,cBag=3.719003544700761,,,,,,,,,,,,
D,3139.830456,T,3139,cBag=3.479156109290406,,,,,,,,,,,,
D,3102.600471,T,3426,cBag=4.363967946690712,,,,,,,,,,,,
D,3089.276949,T,3427,cBag=4.627995784065395,,,,,,,,,,,,
D,3163.19191,T,3074,cBag=3.7287231387433066,,,,,,,,,,,,
D,3217.000275,T,2990,cBag=3.9779042729994023,,,,,,,,,,,,
D,3093.653431,T,3440,cBag=4.100580278220446,,,,,,,,,,,,
D,3062.637109,T,3719,cBag=3.919039840490717,,,,,,,,,,,,
D,3076.131976,T,3669,cBag=4.171602988853853,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n57-k7.vrp,n,3,obj0Min,4262.113891,obj0Max,5848.801948,obj1Min,4217,obj1Max,4352,obj2Min,4.023657441,obj2Max,4.309483254
D,5330.677234,T,4344,cBag=4.023657440973524,,,,,,,,,,,,
D,5848.801948,T,4217,cBag=4.309483253877816,,,,,,,,,,,,
D,4262.113891,T,4352,cBag=4.081875645935224,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n57-k9.vrp,n,3,obj0Min,4886.574544,obj0Max,4970.614182,obj1Min,4690,obj1Max,4998,obj2Min,3.730463088,obj2Max,3.996589819
D,4970.614182,T,4690,cBag=3.7304630875088147,,,,,,,,,,,,
D,4886.574544,T,4998,cBag=3.7949305375177373,,,,,,,,,,,,
D,4944.11645,T,4954,cBag=3.996589819044093,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n63-k10.vrp,n,2,obj0Min,4898.041904,obj0Max,5176.403054,obj1Min,5185,obj1Max,5293,obj2Min,3.72632419,obj2Max,3.738220344
D,4898.041904,T,5293,cBag=3.726324189504649,,,,,,,,,,,,
D,5176.403054,T,5185,cBag=3.738220344165448,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n64-k9.vrp,n,9,obj0Min,3662.216059,obj0Max,4043.64862,obj1Min,3702,obj1Max,4185,obj2Min,3.290978775,obj2Max,4.021261119
D,4043.64862,T,3964,cBag=3.3096889391085442,,,,,,,,,,,,
D,3793.159244,T,4035,cBag=3.2924824960354524,,,,,,,,,,,,
D,3757.943289,T,4049,cBag=3.2909787754344713,,,,,,,,,,,,
D,3937.58255,T,3980,cBag=3.4859876518728994,,,,,,,,,,,,
D,3937.562479,T,3994,cBag=3.675962198253815,,,,,,,,,,,,
D,3662.216059,T,4185,cBag=3.4959900670490622,,,,,,,,,,,,
D,3870.492355,T,3999,cBag=3.4813754048799854,,,,,,,,,,,,
D,4016.494243,T,3702,cBag=3.806753788709272,,,,,,,,,,,,
D,3940.745837,T,3868,cBag=4.02126111947046,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n66-k9.vrp,n,4,obj0Min,4846.604473,obj0Max,4971.473114,obj1Min,4718,obj1Max,5152,obj2Min,3.676262897,obj2Max,3.950583883
D,4846.604473,T,5152,cBag=3.950583883061154,,,,,,,,,,,,
D,4944.585952,T,5007,cBag=3.930216674055788,,,,,,,,,,,,
D,4955.976223,T,5005,cBag=3.74082371434182,,,,,,,,,,,,
D,4971.473114,T,4718,cBag=3.6762628970397815,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n67-k10.vrp,n,5,obj0Min,4173.967069,obj0Max,4495.956803,obj1Min,4442,obj1Max,4677,obj2Min,3.560117912,obj2Max,3.719826979
D,4495.956803,T,4495,cBag=3.56011791168361,,,,,,,,,,,,
D,4191.590867,T,4677,cBag=3.560988016958392,,,,,,,,,,,,
D,4422.932224,T,4442,cBag=3.7198269793007475,,,,,,,,,,,,
D,4173.967069,T,4453,cBag=3.6901368766470903,,,,,,,,,,,,
D,4354.138757,T,4627,cBag=3.570930798828009,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n68-k9.vrp,n,4,obj0Min,5031.91416,obj0Max,5490.11647,obj1Min,5206,obj1Max,5652,obj2Min,3.920817774,obj2Max,4.405177965
D,5031.91416,T,5652,cBag=4.405177965061177,,,,,,,,,,,,
D,5490.11647,T,5206,cBag=3.970780916357209,,,,,,,,,,,,
D,5249.085041,T,5219,cBag=3.940194683160847,,,,,,,,,,,,
D,5086.533993,T,5233,cBag=3.9208177743640875,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,B-n78-k10.vrp,n,4,obj0Min,5287.621248,obj0Max,5367.350301,obj1Min,5453,obj1Max,5908,obj2Min,3.970949824,obj2Max,5.028198352
D,5367.350301,T,5624,cBag=3.970949824080292,,,,,,,,,,,,
D,5333.520139,T,5677,cBag=5.028198352431156,,,,,,,,,,,,
D,5287.621248,T,5908,cBag=4.021613325571282,,,,,,,,,,,,
D,5365.054482,T,5453,cBag=4.28421704846183,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n16-k8.vrp,n,9,obj0Min,687.8369299,obj0Max,716.9504005,obj1Min,746,obj1Max,1166,obj2Min,6.280826003,obj2Max,6.608442767
D,716.9504005,T,746,cBag=6.280826003494307,,,,,,,,,,,,
D,693.97447,T,1061,cBag=6.525995987766108,,,,,,,,,,,,
D,687.8369299,T,1166,cBag=6.608442767457946,,,,,,,,,,,,
D,701.7583753,T,782,cBag=6.302868820783985,,,,,,,,,,,,
D,695.6208352,T,887,cBag=6.385315600475821,,,,,,,,,,,,
D,707.7924044,T,768,cBag=6.294356550073736,,,,,,,,,,,,
D,701.6548643,T,873,cBag=6.376803329765572,,,,,,,,,,,,
D,693.870959,T,1152,cBag=6.599930496747698,,,,,,,,,,,,
D,711.6360425,T,750,cBag=6.2815504755056315,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n19-k2.vrp,n,3,obj0Min,496.5799859,obj0Max,606.7137041,obj1Min,579,obj1Max,615,obj2Min,1.642257608,obj2Max,2.189630656
D,496.5799859,T,615,cBag=1.6422576075842181,,,,,,,,,,,,
D,585.2467807,T,584,cBag=1.6557221720624982,,,,,,,,,,,,
D,606.7137041,T,579,cBag=2.189630656047816,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n20-k2.vrp,n,3,obj0Min,541.2848506,obj0Max,583.4514954,obj1Min,565,obj1Max,693,obj2Min,1.642786532,obj2Max,1.709452669
D,541.2848506,T,693,cBag=1.7094526694068477,,,,,,,,,,,,
D,554.4526766,T,601,cBag=1.655067623108462,,,,,,,,,,,,
D,583.4514954,T,565,cBag=1.6427865321465693,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n21-k2.vrp,n,3,obj0Min,567.1202155,obj0Max,601.0684148,obj1Min,591,obj1Max,758,obj2Min,1.733305384,obj2Max,1.832057266
D,567.1202155,T,758,cBag=1.8320572658300303,,,,,,,,,,,,
D,589.5041784,T,642,cBag=1.7629932512438944,,,,,,,,,,,,
D,601.0684148,T,591,cBag=1.7333053843528334,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n22-k2.vrp,n,3,obj0Min,573.9963747,obj0Max,575.9814202,obj1Min,559,obj1Max,815,obj2Min,1.646720215,obj2Max,2.344667454
D,575.9814202,T,559,cBag=1.646720214833847,,,,,,,,,,,,
D,573.9963747,T,815,cBag=2.3446674540168853,,,,,,,,,,,,
D,574.1242913,T,662,cBag=1.7128978638931465,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n22-k8.vrp,n,5,obj0Min,985.9491977,obj0Max,1131.349278,obj1Min,1022,obj1Max,1538,obj2Min,0.074398572,obj2Max,0.080584714
D,995.0426891,T,1023,cBag=0.07986755531689188,,,,,,,,,,,,
D,1020.538991,T,1022,cBag=0.07999124719720255,,,,,,,,,,,,
D,1131.349278,T,1148,cBag=0.07439857180354281,,,,,,,,,,,,
D,1130.202936,T,1538,cBag=0.07785927748939876,,,,,,,,,,,,
D,985.9491977,T,1109,cBag=0.08058471360593575,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n23-k8.vrp,n,7,obj0Min,898.4232932,obj0Max,970.679129,obj1Min,971,obj1Max,1490,obj2Min,5.698943956,obj2Max,6.312829154
D,966.7967815,T,977,cBag=6.2252882537973395,,,,,,,,,,,,
D,970.679129,T,971,cBag=5.6989439555861825,,,,,,,,,,,,
D,938.3537497,T,1490,cBag=6.018490059776625,,,,,,,,,,,,
D,950.4388659,T,1024,cBag=5.72524392111547,,,,,,,,,,,,
D,935.0273869,T,980,cBag=6.215329726102459,,,,,,,,,,,,
D,898.4232932,T,1154,cBag=6.312829154325866,,,,,,,,,,,,
D,938.9292877,T,1112,cBag=5.777171650690448,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n40-k5.vrp,n,9,obj0Min,1575.283078,obj0Max,1728.8296,obj1Min,1570,obj1Max,2325,obj2Min,2.162254148,obj2Max,3.775298569
D,1607.612998,T,2258,cBag=2.361959095038022,,,,,,,,,,,,
D,1665.720308,T,2034,cBag=2.300468084176806,,,,,,,,,,,,
D,1575.283078,T,2325,cBag=2.642893398260291,,,,,,,,,,,,
D,1681.844695,T,1758,cBag=2.214200371127948,,,,,,,,,,,,
D,1645.395219,T,2046,cBag=2.3005036256406863,,,,,,,,,,,,
D,1587.411389,T,2311,cBag=2.3752866222667013,,,,,,,,,,,,
D,1728.8296,T,1570,cBag=2.1622541475152217,,,,,,,,,,,,
D,1626.790732,T,1694,cBag=3.775298568924101,,,,,,,,,,,,
D,1646.040366,T,1583,cBag=2.4161597456815986,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n45-k5.vrp,n,9,obj0Min,1913.195587,obj0Max,2157.930585,obj1Min,1933,obj1Max,2748,obj2Min,2.168898668,obj2Max,3.013647231
D,1996.724695,T,2028,cBag=2.3456890018260816,,,,,,,,,,,,
D,2041.914645,T,1933,cBag=2.3258728517668565,,,,,,,,,,,,
D,2134.199593,T,2409,cBag=2.2420539774512678,,,,,,,,,,,,
D,2138.098091,T,2343,cBag=2.223637972113922,,,,,,,,,,,,
D,2157.930585,T,2142,cBag=2.168898668217837,,,,,,,,,,,,
D,2085.767938,T,2472,cBag=2.2520734809187863,,,,,,,,,,,,
D,1913.195587,T,2748,cBag=3.013647230821945,,,,,,,,,,,,
D,1942.473851,T,2331,cBag=2.4240887870158434,,,,,,,,,,,,
D,1961.85182,T,2099,cBag=2.360313096728274,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n50-k7.vrp,n,11,obj0Min,1917.538786,obj0Max,2536.791473,obj1Min,2069,obj1Max,3089,obj2Min,1.999948833,obj2Max,2.531179851
D,2536.791473,T,2478,cBag=2.0403833883656466,,,,,,,,,,,,
D,1917.538786,T,2714,cBag=2.53117985063241,,,,,,,,,,,,
D,1961.272806,T,3089,cBag=2.442974677453839,,,,,,,,,,,,
D,2048.164124,T,2863,cBag=2.0612357544836373,,,,,,,,,,,,
D,1987.827401,T,2562,cBag=2.162960889513667,,,,,,,,,,,,
D,2025.70225,T,2510,cBag=2.3291347668197275,,,,,,,,,,,,
D,2055.539221,T,2348,cBag=2.1262861081964326,,,,,,,,,,,,
D,2201.293507,T,2482,cBag=1.9999488331283721,,,,,,,,,,,,
D,2149.24526,T,2069,cBag=2.4240396377223936,,,,,,,,,,,,
D,2251.918127,T,2104,cBag=2.099131883075911,,,,,,,,,,,,
D,2132.765167,T,2215,cBag=2.10781653472141,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n50-k8.vrp,n,10,obj0Min,2003.863349,obj0Max,2317.111978,obj1Min,2233,obj1Max,2721,obj2Min,2.313461726,obj2Max,2.633375227
D,2036.176728,T,2700,cBag=2.5428314165597237,,,,,,,,,,,,
D,2003.863349,T,2721,cBag=2.370822304773384,,,,,,,,,,,,
D,2168.716587,T,2233,cBag=2.6333752268522845,,,,,,,,,,,,
D,2143.345532,T,2279,cBag=2.4674778415091683,,,,,,,,,,,,
D,2197.199079,T,2249,cBag=2.467794208453006,,,,,,,,,,,,
D,2155.190319,T,2377,cBag=2.317094918362178,,,,,,,,,,,,
D,2057.333058,T,2509,cBag=2.332815949343893,,,,,,,,,,,,
D,2276.024034,T,2376,cBag=2.3317505909648526,,,,,,,,,,,,
D,2317.111978,T,2265,cBag=2.313461725977346,,,,,,,,,,,,
D,2302.364838,T,2347,cBag=2.328892414367521,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n50-k10.vrp,n,13,obj0Min,2080.379898,obj0Max,2540.834638,obj1Min,2282,obj1Max,3100,obj2Min,2.573099773,obj2Max,2.881730135
D,2240.042296,T,2672,cBag=2.7344741835723316,,,,,,,,,,,,
D,2328.575638,T,2301,cBag=2.8397932173463207,,,,,,,,,,,,
D,2080.379898,T,2765,cBag=2.734389535315156,,,,,,,,,,,,
D,2185.686826,T,2584,cBag=2.8817301352786133,,,,,,,,,,,,
D,2540.834638,T,2622,cBag=2.5885148818298864,,,,,,,,,,,,
D,2262.580612,T,2504,cBag=2.7019158061550574,,,,,,,,,,,,
D,2428.222715,T,2416,cBag=2.703787652603547,,,,,,,,,,,,
D,2413.828071,T,2623,cBag=2.5730997732516063,,,,,,,,,,,,
D,2459.995833,T,2376,cBag=2.699284450596385,,,,,,,,,,,,
D,2480.371072,T,2282,cBag=2.6820225187866322,,,,,,,,,,,,
D,2404.804619,T,3100,cBag=2.6723050898493215,,,,,,,,,,,,
D,2219.646503,T,2697,cBag=2.7372225455895633,,,,,,,,,,,,
D,2360.716497,T,2457,cBag=2.7041049738191485,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,7,P-n51-k10.vrp,n,16,obj0Min,2314.029877,obj0Max,2517.516183,obj1Min,2426,obj1Max,3221,obj2Min,3.359523029,obj2Max,3.853463958
D,2365.539824,T,2709,cBag=3.586316807542864,,,,,,,,,,,,
D,2339.367718,T,2873,cBag=3.835657687286194,,,,,,,,,,,,
D,2356.567032,T,2785,cBag=3.8155963227245393,,,,,,,,,,,,
D,2465.184988,T,2692,cBag=3.596945487247016,,,,,,,,,,,,
D,2457.084613,T,3163,cBag=3.5058930497829714,,,,,,,,,,,,
D,2419.26238,T,3221,cBag=3.5151270250362194,,,,,,,,,,,,
D,2348.071975,T,2994,cBag=3.6570455870150638,,,,,,,,,,,,
D,2436.596792,T,2652,cBag=3.793412901816638,,,,,,,,,,,,
D,2314.029877,T,2957,cBag=3.85346395834641,,,,,,,,,,,,
D,2484.371287,T,2579,cBag=3.359680103718178,,,,,,,,,,,,
D,2512.444214,T,2426,cBag=3.5355932728516986,,,,,,,,,,,,
D,2465.970245,T,2634,cBag=3.371066304593291,,,,,,,,,,,,
D,2482.850704,T,2585,cBag=3.36099553718183,,,,,,,,,,,,
